business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Meera Computer,Computer Sales and Laptop Repair,Computer repair service,"Computer repair service, Computer accessories store",757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 95567 24674,N/A,4.8,,"Meera Computer, Kaptipada road, Kaptipada, Odisha 757040",757043,21.5181905,86.5283977,ChIJD5izv8Q-HDoRfNVbU5W-K4M,https://www.google.com/maps/place/?q=place_id:ChIJD5izv8Q-HDoRfNVbU5W-K4M,part_345,2026-09-20 20:18:15
CYBER OUTLOOK,Computer Sales and Laptop Repair,Computer accessories store,Computer accessories store,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 97779 35300,N/A,4.9,,"Ambika Sahi, WN-05, Roxy Rd, Meher Colony, Baripada, Odisha 757001",Meher Colony,21.936723,86.7239922,ChIJ5UjfAACxHToRrSjtCN8LX_c,https://www.google.com/maps/place/?q=place_id:ChIJ5UjfAACxHToRrSjtCN8LX_c,part_345,2026-09-20 20:18:15
CYBER PLANET,Computer Sales and Laptop Repair,Computer store,"Computer store, Computer service, Printer ink refill store, Printer repair service",757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 6792 255 448,https://cyber-planet.grexa.site/,4.0,,"WARD NO 5, Infront of Reliance Smart Store, KMBM Rd, Belgodia, Deulasahi, Bhanjpur, Baripada, Odisha 757001","Belgodia, Deulasahi, Bhanjpur",21.935841999999997,86.72396409999999,ChIJ-cA78-yxHToRfASSSa9snPU,https://www.google.com/maps/place/?q=place_id:ChIJ-cA78-yxHToRfASSSa9snPU,part_345,2026-09-20 20:18:15
NETIZEN COMPUTER,Computer Sales and Laptop Repair,Computer store,"Computer store, Computer accessories store, Computer service",757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 94371 74734,N/A,4.4,,"Karanjia, Khandeipada, Odisha 757037",757043,21.7571089,85.97318849999999,ChIJzQEAAFWKHjoR7GhMwAltlq0,https://www.google.com/maps/place/?q=place_id:ChIJzQEAAFWKHjoR7GhMwAltlq0,part_345,2026-09-20 20:18:15
Maa Computer & Mobile,Computer Sales and Laptop Repair,Computer store,Computer store,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 90409 64948,N/A,4.5,,"Jagganath market, beside OP MART, Rairangpur, Odisha 757043",757043,22.258245799999997,86.1711656,ChIJnd4Af0wNHjoRQabbJCvUFFM,https://www.google.com/maps/place/?q=place_id:ChIJnd4Af0wNHjoRQabbJCvUFFM,part_345,2026-09-20 20:18:15
Hi-Tech Technology,Computer Sales and Laptop Repair,Computer repair service,"Computer repair service, Computer consultant, Computer service, Computer store, Computer Wholesaler, Data recovery service, Electronics repair shop, Used computer store",757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 73859 97576,N/A,4.7,,"Sastri Market, KMBM Rd, Belgodia, Deulasahi, Bhanjpur, Baripada, Odisha 757001","Belgodia, Deulasahi, Bhanjpur",21.934423,86.72311359999999,ChIJ-UNZ4vuxHToRFg92g2BT8ic,https://www.google.com/maps/place/?q=place_id:ChIJ-UNZ4vuxHToRFg92g2BT8ic,part_345,2026-09-20 20:18:15
Plutonics Computer & Technologies,Computer Sales and Laptop Repair,Computer store,Computer store,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 70084 93612,https://plutonics.in/,5.0,,"Plot 3/486, Rairangpur Rd, near Kumar Textiles, Gulei, Rairangpur, Odisha 757043",Gulei,22.258746499999997,86.17291019999999,ChIJh9S1HZsNHjoRv2YFcsvaxSM,https://www.google.com/maps/place/?q=place_id:ChIJh9S1HZsNHjoRv2YFcsvaxSM,part_345,2026-09-20 20:18:15
Laptop Repairing centre,Computer Sales and Laptop Repair,Computer repair service,Computer repair service,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 87093 44214,N/A,4.8,,"Shop No 5, Bhanjpur Market Complex, Bhanjpur, Baripada, Odisha 757002",Bhanjpur,21.949467499999997,86.7331044,ChIJtdpcbB-xHToR0WxlnqIuyPY,https://www.google.com/maps/place/?q=place_id:ChIJtdpcbB-xHToR0WxlnqIuyPY,part_345,2026-09-20 20:18:15
COMPUTRONEEX,Computer Sales and Laptop Repair,Computer store,Computer store,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 95830 14116,N/A,4.7,,"Daily market road, opposite of jan seva kendra, Karanjia, Odisha 757037",757043,21.7584601,85.97046999999999,ChIJy-11rEaLHjoR64tSzDSvfbQ,https://www.google.com/maps/place/?q=place_id:ChIJy-11rEaLHjoR64tSzDSvfbQ,part_345,2026-09-20 20:18:15
M/S MOHANTA COMPUTERS,Computer Sales and Laptop Repair,Computer accessories store,Computer accessories store,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",N/A,N/A,3.9,,"Bus Stand Road Rairangpur, Rairangpur, Odisha 757043",757043,22.2706522,86.1730401,ChIJDY9XEzgNHjoR8xSRvTzGcLw,https://www.google.com/maps/place/?q=place_id:ChIJDY9XEzgNHjoR8xSRvTzGcLw,part_345,2026-09-20 20:18:15
EPSON CERTIFIED CHANNEL PARTNER - Shivam Computers,Computer Sales and Laptop Repair,Printing equipment supplier,Printing equipment supplier,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 70650 50972,https://epsoncertifiedpartner.epson.co.in/epson-certified-channel-partner-shivam-computers-printing-equipment-and-supplies-kmbm-sbi-road-baripada-310452/Home?utm_source=locator&utm_medium=googleplaces,4.2,,"Ground Floor, Shastri Market, KMBM Rd, Belgodia, SBI Road, Bhanjpur, Baripada, Odisha 757001","Belgodia, SBI Road, Bhanjpur",21.9359026,86.7236798,ChIJ-_aKG-2xHToRPhJ0AI4Wj9I,https://www.google.com/maps/place/?q=place_id:ChIJ-_aKG-2xHToRPhJ0AI4Wj9I,part_345,2026-09-20 20:18:15
Ambika Computer Services,Computer Sales and Laptop Repair,Computer accessories store,Computer accessories store,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 98535 23697,N/A,4.2,,"FGR3+MXR, Badakhaladi, chhaka, Nuasahi, Sundhal, Odisha 757106",757043,21.4914676,86.5047392,ChIJkZs8GAA_HDoRFnmjtcOVXFw,https://www.google.com/maps/place/?q=place_id:ChIJkZs8GAA_HDoRFnmjtcOVXFw,part_345,2026-09-20 20:18:15
SHIVAM ENTERPRISES,Computer Sales and Laptop Repair,Computer store,Computer store,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 79789 58260,N/A,1.0,,"Rairangpur, Odisha 757043",757043,22.2709609,86.1700144,ChIJbXsyek8NHjoR9VEG7Ii7PRs,https://www.google.com/maps/place/?q=place_id:ChIJbXsyek8NHjoR9VEG7Ii7PRs,part_345,2026-09-20 20:18:15
SEEMA INFOTECH,Computer Sales and Laptop Repair,Computer service,"Computer service, Computer accessories store",757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 70080 38351,N/A,4.5,,"Main Rd, Karanjia, Odisha 757037",757043,21.7619047,85.97169919999999,ChIJ77k3Z1WKHjoREvHPSvarPXM,https://www.google.com/maps/place/?q=place_id:ChIJ77k3Z1WKHjoREvHPSvarPXM,part_345,2026-09-20 20:18:15
