business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Prince Optical,Optical Store and Eyewear,Optician,Optician,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 97775 67846,http://princeoptical.com/,4.9,7.0,"Main Road, in front of Nishamani Lodge, Rairangpur, Odisha 757043",757043,22.2621039,86.1732246,ChIJ8TYXB3UMHjoRrjp33zff0pM,https://www.google.com/maps/place/?q=place_id:ChIJ8TYXB3UMHjoRrjp33zff0pM,part_345,2026-09-20 20:17:53,1142
SUPREME OPTICALS,Optical Store and Eyewear,Eye care center,Eye care center,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 94377 77761,N/A,5.0,16.0,"Infront of Swami xerox, Rairangpur main road,near Mayurbhanj Co operative bank, Rairangpur, Odisha 757043",757043,22.2629482,86.1736516,ChIJtVbwl2oNHjoRDkfwFYIBvOY,https://www.google.com/maps/place/?q=place_id:ChIJtVbwl2oNHjoRDkfwFYIBvOY,part_345,2026-09-20 20:17:53,1143
Patra Optical,Optical Store and Eyewear,Optician,Optician,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 93382 63636,N/A,4.8,52.0,"Rathapadia, road, Badabazar, Deulasahi, Bhanjpur, Baripada, Odisha 757001","Badabazar, Deulasahi, Bhanjpur",21.9294451,86.7240478,ChIJJw8AHu2xHToRx0MuyE1cTGQ,https://www.google.com/maps/place/?q=place_id:ChIJJw8AHu2xHToRx0MuyE1cTGQ,part_345,2026-09-20 20:17:54,1144
Satya optical,Optical Store and Eyewear,Optician,Optician,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 90403 62931,N/A,4.8,25.0,"WPHF+W5X, Unnamed Road, Huduco Colony, Bhanjpur, Baripada, Odisha 757001","Huduco Colony, Bhanjpur",21.929852999999998,86.7229815,ChIJqViRZZaxHToRsfAIB67qhhY,https://www.google.com/maps/place/?q=place_id:ChIJqViRZZaxHToRsfAIB67qhhY,part_345,2026-09-20 20:17:54,1145
Chasma Ghar,Optical Store and Eyewear,Optician,Optician,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 94370 91518,N/A,5.0,3.0,"WPJG+7GV Eye, Hospital Rd, Ward No 9, Deulasahi, Bhanjpur, Baripada, Odisha 757001","Ward No 9, Deulasahi, Bhanjpur",21.9307262,86.7263102,ChIJ0eyQQEWxHToRmymd6CPtgUQ,https://www.google.com/maps/place/?q=place_id:ChIJ0eyQQEWxHToRmymd6CPtgUQ,part_345,2026-09-20 20:17:54,1146
Mainpuri Opticals,Optical Store and Eyewear,Optician,"Optician, Contact lenses supplier, Eye care center, Sunglasses store",757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 89790 92134,N/A,4.9,236.0,"62HJ+4M3, station road, near Christian ground, Banshi Gaurah, Panjabi Colony, Mainpuri, Uttar Pradesh 205001","Banshi Gaurah, Panjabi Colony",27.2276889,79.03255879999999,ChIJySdqM8WXdTkRCFN1O0g3Yx4,https://www.google.com/maps/place/?q=place_id:ChIJySdqM8WXdTkRCFN1O0g3Yx4,part_345,2026-09-20 20:17:54,1147
Care Netram Vision Center Jatni,Optical Store and Eyewear,Eye care center,Eye care center,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 84809 03672,https://carenetram.com/,4.9,302.0,"Ramchandrapur Bazar, Jatni, Khordha, Odisha 752050",757043,20.1648772,85.6975094,ChIJw886nmSvGToRq4pPZ614n0M,https://www.google.com/maps/place/?q=place_id:ChIJw886nmSvGToRq4pPZ614n0M,part_345,2026-09-20 20:17:54,1148
SeeSaw Opticals,Optical Store and Eyewear,Optician,Optician,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 99160 15096,N/A,4.9,983.0,"Site No.27, 8th Cross Rd, Kundalahalli Colony, Brookefield, Bengaluru, Karnataka 560037","Kundalahalli Colony, Brookefield",12.971086699999999,77.7119822,ChIJRehPwScSrjsR8TqEJOxsIqM,https://www.google.com/maps/place/?q=place_id:ChIJRehPwScSrjsR8TqEJOxsIqM,part_345,2026-09-20 20:17:55,1149
Sahu Opticals,Optical Store and Eyewear,Optician,Optician,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 94374 19870,N/A,3.7,3.0,"Deulasahi, Sankhapata, Baripada, Odisha 757001","Deulasahi, Sankhapata",21.9301525,86.7226568,ChIJ36GVvvKxHToRJ8vo2j8U2_8,https://www.google.com/maps/place/?q=place_id:ChIJ36GVvvKxHToRJ8vo2j8U2_8,part_345,2026-09-20 20:17:55,1150
Lotus Eye Care and Optical,Optical Store and Eyewear,Optician,Optician,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 77618 40094,N/A,5.0,11.0,"Road, near Ram Mandir, Sunder Nagar, Jadugoda, Jamshedpur, Jharkhand 832107",Sunder Nagar,22.735167099999998,86.2033946,ChIJL-aagUT99TkRRGxfyqjDfZY,https://www.google.com/maps/place/?q=place_id:ChIJL-aagUT99TkRRGxfyqjDfZY,part_345,2026-09-20 20:17:55,1151
L&B Opticals,Optical Store and Eyewear,Optician,Optician,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 74398 96484,https://landbopticals.com/,4.8,523.0,"501, Judges Court Rd, Keranitola, Midnapore, West Bengal 721101",Keranitola,22.4202963,87.315839,ChIJZel8PSFbHToR08f0p2WUuy0,https://www.google.com/maps/place/?q=place_id:ChIJZel8PSFbHToR08f0p2WUuy0,part_345,2026-09-20 20:17:55,1152
Optical Cart,Optical Store and Eyewear,Optician,Optician,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 98803 21123,N/A,5.0,498.0,"282 bayanapalya vajarahalli metro station thalagattapura pillor number 236 thalagattapura post, Kanakapura Main Rd, Bengaluru, Karnataka 560109","Vajarahalli, Bangalore City Municipal Corporation Layout",12.875332799999999,77.5429204,ChIJkTSd2UYVrjsRt-wBsSlB1OA,https://www.google.com/maps/place/?q=place_id:ChIJkTSd2UYVrjsRt-wBsSlB1OA,part_345,2026-09-20 20:17:55,1153
Prism Eye Care - Rajajinagar,Optical Store and Eyewear,Optician,"Optician, Contact lenses supplier, Eye care center, Optical Wholesaler, Sunglasses store",757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 80 4215 0707,https://prismeyecare.in/pages/rajajinagar-store,5.0,1554.0,"9/9, 59th Cross Rd, near Bhasyam circle, Rajajinagar 3rd Block, 5th Block, Rajajinagar, Bengaluru, Karnataka 560010","Rajajinagar 3rd Block, 5th Block, Rajajinagar",12.984782899999999,77.5535199,ChIJw7asq_M9rjsR21w8U6Bg8-8,https://www.google.com/maps/place/?q=place_id:ChIJw7asq_M9rjsR21w8U6Bg8-8,part_345,2026-09-20 20:17:55,1154
