business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
ARB Mart,Supermarket,Supermarket,Supermarket,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",N/A,N/A,,,"Bazaar Street Main Road, Brahmanigaon, Odisha 762021",762021,19.6540511,84.0726062,ChIJh4Sb8QAxIzoR8lLwHLiWUZU,https://www.google.com/maps/place/?q=place_id:ChIJh4Sb8QAxIzoR8lLwHLiWUZU,part_350,2026-09-20 20:17:45,40
Dipa grocery store,Supermarket,General store,General store,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",N/A,N/A,5.0,1.0,"M2VV+475, Gadapur, Odisha 762021",762021,19.692765599999998,84.04321879999999,ChIJaQ0SNwA7IzoRjbrcfC9oWnk,https://www.google.com/maps/place/?q=place_id:ChIJaQ0SNwA7IzoRjbrcfC9oWnk,part_350,2026-09-20 20:17:45,41
SUSHIL GENERAL STORE,Supermarket,Grocery store,Grocery store,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 82809 19708,N/A,5.0,1.0,"Meramaha Chaka, Mandipanka, Saramuli, Odisha 762021",Mandipanka,19.684012,84.0611729,ChIJid_r06o7IzoR_QG5Rdyg7dk,https://www.google.com/maps/place/?q=place_id:ChIJid_r06o7IzoR_QG5Rdyg7dk,part_350,2026-09-20 20:17:45,42
Chandan A-to-Z Grocery Store,Supermarket,General store,General store,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 94385 44977,N/A,5.0,4.0,"New SBI ATM, Saramuli, Odisha 762021",762021,19.654003,84.07260939999999,ChIJYfx3XfYxIzoREXbIakMEYbw,https://www.google.com/maps/place/?q=place_id:ChIJYfx3XfYxIzoREXbIakMEYbw,part_350,2026-09-20 20:17:45,43
Sarojini Nayak,Supermarket,Grocery store,Grocery store,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 87636 91168,N/A,5.0,1.0,"Sarojini House, Main Road, Katama, Danigan, Odisha 761217",762021,19.6174997,84.0586471,ChIJwSDNFagxIzoRZOAYRRC0yAU,https://www.google.com/maps/place/?q=place_id:ChIJwSDNFagxIzoRZOAYRRC0yAU,part_350,2026-09-20 20:17:45,44
samrat market,Supermarket,Supermarket,Supermarket,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",N/A,N/A,4.0,36.0,"762001, Phulbani - Bhanjanagar - Asika - Berhampur Rd, Kamapalli Big Street, Odisha 762001","Kamapalli Big Street, Amalpada",20.476743799999998,84.2325255,ChIJ91JVnQGzIzoRGWAsdyJmSY0,https://www.google.com/maps/place/?q=place_id:ChIJ91JVnQGzIzoRGWAsdyJmSY0,part_350,2026-09-20 20:17:45,45
Blesy General Store,Supermarket,Grocery store,Grocery store,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 94395 45230,N/A,,,"Allanjuri Allanjuri, Bamunigam, Odisha 762021",762021,19.6324681,84.0576358,ChIJE2kY3hgxIzoRgqWRqbdJPpA,https://www.google.com/maps/place/?q=place_id:ChIJE2kY3hgxIzoRgqWRqbdJPpA,part_350,2026-09-20 20:17:45,46
"Sanjit general store,kirikuti",Supermarket,Indian grocery store,Indian grocery store,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 63703 80918,N/A,4.7,3.0,"Upara sahi, infront of post office, Kirikuti, Odisha 762104",762021,20.0001467,84.0448083,ChIJ84R-dv0RIzoRAWIUU-fL_dA,https://www.google.com/maps/place/?q=place_id:ChIJ84R-dv0RIzoRAWIUU-fL_dA,part_350,2026-09-20 20:17:45,47
Janata General store,Supermarket,Grocery store,Grocery store,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",N/A,N/A,5.0,2.0,"M34C+JVQ, Daringbadi Rd, in front of Forest Ranger office, Hatapada sahi, Daringbadi, Odisha 762021",Hatapada sahi,19.6565911,84.07224339999999,ChIJceMQJrcxIzoRbLx5MtI3jbg,https://www.google.com/maps/place/?q=place_id:ChIJceMQJrcxIzoRbLx5MtI3jbg,part_350,2026-09-20 20:17:45,48
Ganga General store,Supermarket,Supermarket,Supermarket,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",N/A,N/A,2.5,2.0,"M35Q+GX9, Church Road Kiramaha (USK, Mundamaha, Odisha 762021",762021,19.6587943,84.08998509999999,ChIJLcB2U64xIzoRRXli6MutTUs,https://www.google.com/maps/place/?q=place_id:ChIJLcB2U64xIzoRRXli6MutTUs,part_350,2026-09-20 20:17:45,49
