business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
KONARK STUDIO & COLOUR LEB,Photographers,Photography studio,"Photography studio, Laminating equipment supplier, Lamination service, Photo lab",756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",N/A,N/A,4.5,41.0,"Chandbali, Odisha 756133",756133,20.774095,86.74020209999999,ChIJeQRUClWXGzoR4OMmZiFXcOo,https://www.google.com/maps/place/?q=place_id:ChIJeQRUClWXGzoR4OMmZiFXcOo,part_344,2026-09-20 20:18:09,2837
Maa Studio Chandbali,Photographers,Photography studio,Photography studio,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",N/A,N/A,,,"Chandbali, Odisha 756133",756133,20.7755247,86.7416394,ChIJDzvWLUKZGzoRrR5T-ETW-o8,https://www.google.com/maps/place/?q=place_id:ChIJDzvWLUKZGzoRrR5T-ETW-o8,part_344,2026-09-20 20:18:09,2838
ROHIT RANJAN SAHOÒ,Photographers,Wedding photographer,Wedding photographer,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",N/A,N/A,4.8,6.0,"QPF9+3GC, Chandbali, Kulhi, Odisha 756133",756133,20.772694299999998,86.7187728,ChIJWaT2UFaXGzoRPGHI6KH2Z64,https://www.google.com/maps/place/?q=place_id:ChIJWaT2UFaXGzoRPGHI6KH2Z64,part_344,2026-09-20 20:18:09,2839
Sai Smruti Photography,Photographers,Photo shop,Photo shop,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 80184 36602,http://www.saismrutiphotography.com/,5.0,4.0,"Deobil, Chandbali, Bhadrak, Odisha 756133",756133,20.809440499999997,86.6918927,ChIJgaMuhU2RGzoR051-MT_Nm9Y,https://www.google.com/maps/place/?q=place_id:ChIJgaMuhU2RGzoR051-MT_Nm9Y,part_344,2026-09-20 20:18:09,2840
Manasi Photography,Photographers,Photography studio,Photography studio,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 97764 04179,N/A,5.0,45.0,"Jayanagar Block Bazar, Talapada, Dhamanagar, Odisha 756117",Talapada,20.9219741,86.44572649999999,ChIJ2XznqcTxGzoRfFzuHs31rGA,https://www.google.com/maps/place/?q=place_id:ChIJ2XznqcTxGzoRfFzuHs31rGA,part_344,2026-09-20 20:18:09,2841
Sahada Sundari communication,Photographers,Passport photo processor,Passport photo processor,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",N/A,N/A,5.0,3.0,"RQC6+269, Chandbali, Nischanta, Odisha 756133",756133,20.8200441,86.7606003,ChIJ4VCLeACbGzoRAuLnYnPdXEE,https://www.google.com/maps/place/?q=place_id:ChIJ4VCLeACbGzoRAuLnYnPdXEE,part_344,2026-09-20 20:18:09,2842
SK Photography BDK,Photographers,Photographer,Photographer,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 89518 14334,https://www.instagram.com/sk_photography_2k?igsh=aW16cjF4MDh4N2s5,4.9,27.0,"Barikpur, Bazzar, Bhadrak, Odisha 756112","Barikpur, Bazzar",20.9898346,86.4174784,ChIJk9zxK4f5GzoRq4H2KPwAB5c,https://www.google.com/maps/place/?q=place_id:ChIJk9zxK4f5GzoRq4H2KPwAB5c,part_344,2026-09-20 20:18:09,2843
Maa Kalitra Photo Binding,Photographers,Photography service,Photography service,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 77359 99998,https://www.facebook.com/prasanta.dash.520562,5.0,1382.0,"College Rd, Jagannathpur, Bagurai, Bhadrak, Odisha 756100","Jagannathpur, Bagurai",21.06269,86.4885,ChIJUUWlrTEJHDoR8xZDE2uxaCA,https://www.google.com/maps/place/?q=place_id:ChIJUUWlrTEJHDoR8xZDE2uxaCA,part_344,2026-09-20 20:18:09,2844
JUPITER FLIMS,Photographers,Photography studio,Photography studio,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",N/A,https://www.instagram.com/jupiterfilms2020?igsh=bHFuanA3Nml3MTg2,,,"near new bus station, Chandbali, Simulia, Odisha 756133",756133,20.772543199999998,86.7329318,ChIJrwuaOgCXGzoRzFCNR6fo_Gc,https://www.google.com/maps/place/?q=place_id:ChIJrwuaOgCXGzoRzFCNR6fo_Gc,part_344,2026-09-20 20:18:09,2845
My Internet,Photographers,Chartered accountant,"Chartered accountant, Photography studio",756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 72057 37556,N/A,4.8,5.0,"12, Naugotuda, Odisha 756133",Naugotuda,20.8383847,86.7573893,ChIJ4T5XRZqXGzoRqAO3VhMJaD8,https://www.google.com/maps/place/?q=place_id:ChIJ4T5XRZqXGzoRqAO3VhMJaD8,part_344,2026-09-20 20:18:09,2846
