business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
MADHU TOUR & TRAVELS,Taxi Service and Car Rental,Car leasing service,"Car leasing service, Taxi service, Travel agency",756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 78559 09367,http://pramodnayak.website3.me/,5.0,167.0,"Railway Station, Bhadrak, Charampa, Odisha 756101",756133,21.091915,86.5172497,ChIJM7wfpNQLHDoR5h-zpwIoF2o,https://www.google.com/maps/place/?q=place_id:ChIJM7wfpNQLHDoR5h-zpwIoF2o,part_344,2026-09-20 20:18:00,1577
RANJULATA TOUR & TRAVELS,Taxi Service and Car Rental,Car leasing service,Car leasing service,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 91784 22947,N/A,5.0,39.0,"Charampa, Odisha 756101",756133,21.0907621,86.5171041,ChIJNfbZK6ULHDoR6__qdkmB8Fw,https://www.google.com/maps/place/?q=place_id:ChIJNfbZK6ULHDoR6__qdkmB8Fw,part_344,2026-09-20 20:18:00,1578
"Subhalaxmi Travels (S,L)",Taxi Service and Car Rental,Car leasing service,Car leasing service,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 97761 89848,https://subhalaxmitravels.godaddysites.com/,5.0,24.0,"Samaraipur, Bhadrak, Odisha 756100",Samaraipur,21.0572973,86.4954222,ChIJ1XpIGgj3GzoRjjHexTVdaa4,https://www.google.com/maps/place/?q=place_id:ChIJ1XpIGgj3GzoRjjHexTVdaa4,part_344,2026-09-20 20:18:00,1579
#Panda Car Rental Tour and Travels | Book Your Next Trip Today!,Taxi Service and Car Rental,Travel agency,"Travel agency, Tour operator",756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 77520 47792,N/A,5.0,7.0,"Panda Tour and Travels, near erein up School, Charampa, Bhadrak, Odisha 756101",756133,21.0833503,86.53260809999999,ChIJUxYnCAkLHDoR2QLhSH_-OYc,https://www.google.com/maps/place/?q=place_id:ChIJUxYnCAkLHDoR2QLhSH_-OYc,part_344,2026-09-20 20:18:00,1580
#Trip Touch | Online Cab / Taxi Service in Bhadrak,Taxi Service and Car Rental,Taxi service,"Taxi service, Travel agency",756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",N/A,N/A,5.0,4.0,"3G82+GWF, Nayabazar, Odisha 756100",Naripur,21.0663174,86.5022917,ChIJjfZUwN8LHDoRXOoh0RDCpPk,https://www.google.com/maps/place/?q=place_id:ChIJjfZUwN8LHDoRXOoh0RDCpPk,part_344,2026-09-20 20:18:00,1581
Deba Communication,Taxi Service and Car Rental,Taxi service,Taxi service,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",N/A,N/A,5.0,1.0,"Manguliasahi, Jalamandua, Odisha 756112",Manguliasahi,21.0017402,86.4587348,ChIJt3_xVNT3GzoRV6IeTj02T0Y,https://www.google.com/maps/place/?q=place_id:ChIJt3_xVNT3GzoRV6IeTj02T0Y,part_344,2026-09-20 20:18:01,1582
Behera Tour and Travels,Taxi Service and Car Rental,Transportation service,"Transportation service, Service establishment",756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",N/A,https://aesthetic-parfait-14b788.netlify.app/,5.0,11.0,"Behera Tour and Travels, 756133, India",756133,21.061754399999998,86.5026176,ChIJNVq2YCMeU6gRxwmMGcA52ko,https://www.google.com/maps/place/?q=place_id:ChIJNVq2YCMeU6gRxwmMGcA52ko,part_344,2026-09-20 20:18:01,1583
Balasore Cab,Taxi Service and Car Rental,Car rental agency,"Car rental agency, Bus tour agency, Car leasing service, Minibus taxi service, Sightseeing Tour Operator, Travel agency",756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",+91 70080 97413,https://wa.link/9ms4wx,4.9,284.0,"office, AT, po, post, opposite Sahadevkhunta, Sahadevkhuntha, Artung, Balia, Balasore, Odisha 756001","Sahadevkhuntha, Artung, Balia",21.505232799999998,86.9127761,ChIJobao4QX1HDoRNvqcjFR6e6g,https://www.google.com/maps/place/?q=place_id:ChIJobao4QX1HDoRNvqcjFR6e6g,part_344,2026-09-20 20:18:44,6846
Adya Travels - Verna car for rent,Taxi Service and Car Rental,Travel agency,Travel agency,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",+91 70039 05422,N/A,5.0,6.0,"near bhadrak womens college, Buddha Vihar, Bhadrak, Odisha 756100",Buddha Vihar,21.0588843,86.5049508,ChIJiZ4dS3kLHDoRSC7Qrjs5Y-0,https://www.google.com/maps/place/?q=place_id:ChIJiZ4dS3kLHDoRSC7Qrjs5Y-0,part_344,2026-09-20 20:18:44,6847
Sahoo travels,Taxi Service and Car Rental,Taxi service,"Taxi service, Car leasing service, Travel agency",756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",+91 93376 11082,https://sahoo-traveles-xxylk9l.gamma.site/,5.0,50.0,"Bhadrak Rly station, Belmala, Charampa, Odisha 756101",Belmala,21.0907959,86.51727079999999,ChIJZS42xmILHDoRcAh9tgSSrHE,https://www.google.com/maps/place/?q=place_id:ChIJZS42xmILHDoRcAh9tgSSrHE,part_344,2026-09-20 20:18:44,6848
