business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
ALL SCRAP PURCHASE,Scrap Dealer and Raddi Wholesaler,Scrap metal dealer,Scrap metal dealer,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 70084 26748,N/A,4.9,39.0,"Railway Yard and Washing Line, Kharvela Nagar, Bhubaneswar, Odisha 751001","Railway Yard and Washing Line, Kharvela Nagar",20.2739406,85.8381787,ChIJL9KVOACnGToReyh9BVv548w,https://www.google.com/maps/place/?q=place_id:ChIJL9KVOACnGToReyh9BVv548w,part_344,2026-09-20 20:18:19,4162
Patra scrap traders,Scrap Dealer and Raddi Wholesaler,Scrap metal dealer,"Scrap metal dealer, Iron works",756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 77357 18035,http://patramatel.wordpress.com/,5.0,3.0,"3, Gangotri Nagar, Bhubaneswar, Odisha 751002",Gangotri Nagar,20.2209339,85.84991939999999,ChIJ3Q7KPh-hGToRDbA1mAHTh6I,https://www.google.com/maps/place/?q=place_id:ChIJ3Q7KPh-hGToRDbA1mAHTh6I,part_344,2026-09-20 20:18:19,4163
Shrinox Industries - Surplus Metal & Scrap Buyer,Scrap Dealer and Raddi Wholesaler,Scrap metal dealer,"Scrap metal dealer, Service establishment, Junkyard, Metal processing company",756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 98924 51458,https://scrapmetalsdealer.com/,,,"Shrinox Industries - Surplus Metal & Scrap Buyer, 756133, India",756133,21.0680074,82.7525294,ChIJEaUIxdvP5zsRua48aSADNy4,https://www.google.com/maps/place/?q=place_id:ChIJEaUIxdvP5zsRua48aSADNy4,part_344,2026-09-20 20:18:19,4164
Swachh Kabadi,Scrap Dealer and Raddi Wholesaler,Salvage yard,"Salvage yard, Kabadiwala & Scrap Merchant, Scrap metal dealer",756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 95750 47674,https://swachhkabadi.com/,4.9,31.0,"5557+36, Ambikapur, Chhattisgarh 497001",756133,23.1450647,83.17879049999999,ChIJnbK0QACniTkReUN_rb3Ryms,https://www.google.com/maps/place/?q=place_id:ChIJnbK0QACniTkReUN_rb3Ryms,part_344,2026-09-20 20:18:19,4165
ScrapMiner: Scrap Dealers | Scrap Metal Recycling | Dismantling Service,Scrap Dealer and Raddi Wholesaler,Scrap metal dealer,"Scrap metal dealer, Service establishment, Salvage yard",756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",N/A,N/A,,,"ScrapMiner: Scrap Dealers | Scrap Metal Recycling | Dismantling Service, 756133, India",756133,21.0680074,82.7525294,ChIJGybh31h3AjoRL9sNaXxKsw4,https://www.google.com/maps/place/?q=place_id:ChIJGybh31h3AjoRL9sNaXxKsw4,part_344,2026-09-20 20:18:19,4166
Ali Scrap (Online kabadi ),Scrap Dealer and Raddi Wholesaler,Scrap metal dealer,"Scrap metal dealer, Iron & Steel Store, Recycling center, Kabadiwala & Scrap Merchant",756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 93485 02584,N/A,4.8,25.0,"Lephripara, Odisha 770012",756133,22.114175,83.809456,ChIJ1SIOGPvHIDoRcVXw-8mEYXk,https://www.google.com/maps/place/?q=place_id:ChIJ1SIOGPvHIDoRcVXw-8mEYXk,part_344,2026-09-20 20:18:19,4167
Urban Kabadiwala,Scrap Dealer and Raddi Wholesaler,Scrap metal dealer,"Scrap metal dealer, Garbage collection service, Salvage yard, Kabadiwala & Scrap Merchant, Waste management service",756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 90780 28941,https://urbankabadiwala.com/,4.7,26.0,"Infront of Sankalp Media and Convention, Plot no- 7/1799, Infocity Ave, adjacent Sai Mandir Lane, beside Infosys Sai Baba Temple, Bhubaneswar, Odisha 751021","Sailashree Vihar, Chandrasekharpur",20.3384043,85.80739179999999,ChIJwZK0wosJGToR-3O_3UTATPA,https://www.google.com/maps/place/?q=place_id:ChIJwZK0wosJGToR-3O_3UTATPA,part_344,2026-09-20 20:18:19,4168
Sara scrap traders,Scrap Dealer and Raddi Wholesaler,Scrap metal dealer,"Scrap metal dealer, Kabadiwala & Scrap Merchant",756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 70084 35447,N/A,4.3,6.0,"plot 807, Shikharchandi Rd, Sikharchandi Vihar, Patia, Bhubaneswar, Odisha 751024","Sikharchandi Vihar, Patia",20.3575284,85.8230842,ChIJgzIbL74JGToRYCJBTIm3grk,https://www.google.com/maps/place/?q=place_id:ChIJgzIbL74JGToRYCJBTIm3grk,part_344,2026-09-20 20:18:19,4169
Moti Scrap Dealer,Scrap Dealer and Raddi Wholesaler,Kabadiwala & Scrap Merchant,Kabadiwala & Scrap Merchant,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 99374 35438,N/A,4.9,113.0,"Shikharchandi Rd, Sikharchandi Vihar, Patia, Bhubaneswar, Odisha 751024","Sikharchandi Vihar, Patia",20.3584221,85.823259,ChIJe6XQKRMJGToRJUIA6A9jjTc,https://www.google.com/maps/place/?q=place_id:ChIJe6XQKRMJGToRJUIA6A9jjTc,part_344,2026-09-20 20:18:19,4170
Kabadia Dokan,Scrap Dealer and Raddi Wholesaler,Scrapbooking store,Scrapbooking store,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 97780 20008,N/A,4.7,43.0,"FWC2+V2J, Municipal Colony, Kataka, Odisha 753003",Municipal Colony,20.47222,85.9000087,ChIJVxhztGINGToR7dmggyiwvjc,https://www.google.com/maps/place/?q=place_id:ChIJVxhztGINGToR7dmggyiwvjc,part_344,2026-09-20 20:18:19,4171
Global Scrap Traders,Scrap Dealer and Raddi Wholesaler,Scrap metal dealer,Scrap metal dealer,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 78881 81483,N/A,4.5,13.0,"MIDC, Datala, Maharashtra 442401",MIDC,19.9711628,79.2646018,ChIJy7TtTlPX0jsR8JP8uySAyFY,https://www.google.com/maps/place/?q=place_id:ChIJy7TtTlPX0jsR8JP8uySAyFY,part_344,2026-09-20 20:18:19,4172
Scrapwala,Scrap Dealer and Raddi Wholesaler,Scrap metal dealer,Scrap metal dealer,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 77358 09116,http://scrapwalaaa.com/,4.4,8.0,"Sunarimunda, Sarbahal, Jharsuguda, Odisha 768201","Sunarimunda, Sarbahal",21.829576499999998,84.01515409999999,ChIJsR_LpjjjIDoRzlsD34kigbM,https://www.google.com/maps/place/?q=place_id:ChIJsR_LpjjjIDoRzlsD34kigbM,part_344,2026-09-20 20:18:19,4173
Scrap kabadiwala Bhubaneswar,Scrap Dealer and Raddi Wholesaler,Scrap metal dealer,Scrap metal dealer,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",N/A,N/A,5.0,3.0,"Sikharchandi Vihar, Patia, Bhubaneswar, Odisha 751024","Sikharchandi Vihar, Patia",20.3574047,85.8238168,ChIJJ6QAPXQJGToRB3iQ3xocfxU,https://www.google.com/maps/place/?q=place_id:ChIJJ6QAPXQJGToRB3iQ3xocfxU,part_344,2026-09-20 20:18:19,4174
