business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ବାହାବଳପୁର ଅଙ୍ଗନୱାଡି,Play School and Daycare,Preschool,Preschool,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,,,"8PMH+WG6, Bahabalpur Rd, Bahabalpur, Nayakbandha, Odisha 756042",756042,21.3348341,86.7289878,ChIJheUHJn5vHDoRQDJT6CHJ15c,https://www.google.com/maps/place/?q=place_id:ChIJheUHJn5vHDoRQDJT6CHJ15c,part_343,2026-09-20 20:18:12
Bachpan Play School Soro,Play School and Daycare,Preschool,Preschool,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 95569 67004,http://www.bachpanglobal.com/,4.5,,"SM Villa, Station Square, Utareswar, Uttareswar, Soro, Odisha 756045","Utareswar, Uttareswar",21.2904376,86.6893388,ChIJt7HeajFvHDoRGN4BhJRhzDg,https://www.google.com/maps/place/?q=place_id:ChIJt7HeajFvHDoRGN4BhJRhzDg,part_343,2026-09-20 20:18:12
ଆମ ଅଙ୍ଗନୱାଡ଼ି କେନ୍ଦ୍ର (anganwadi centre),Play School and Daycare,Preschool,Preschool,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,3.7,,"7PRC+6V6, Talapadhi Rd, Adivasi Sahi, Ambagadia, Mulisingh, Odisha 756045",Adivasi Sahi,21.290538899999998,86.72214489999999,ChIJC6hEfC5vHDoRKGngbsDSZ-4,https://www.google.com/maps/place/?q=place_id:ChIJC6hEfC5vHDoRKGngbsDSZ-4,part_343,2026-09-20 20:18:12
Purnima English Medium Play School & Daycare,Play School and Daycare,Day care center,"Day care center, Preschool, Kindergarten School, Primary school",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 72057 02944,N/A,5.0,,"PURNIMA PLAY SCHOOL, near Chandmari Padia, Sahadevkhuntha, Balia, Balasore, Odisha 756003","Sahadevkhuntha, Balia",21.511692,86.91496459999999,ChIJ0W2mXmf1HDoRui0cuPRqLjI,https://www.google.com/maps/place/?q=place_id:ChIJ0W2mXmf1HDoRui0cuPRqLjI,part_343,2026-09-20 20:18:12
Anganabadi Kendra,Play School and Daycare,Preschool,Preschool,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,5.0,,"8Q8C+4QC, Narkatiaganj, Purana, Thalasada, Odisha 756042",Narkatiaganj,21.315312499999997,86.77189059999999,ChIJ1ddzO6hlHDoRumJXhIWjTAc,https://www.google.com/maps/place/?q=place_id:ChIJ1ddzO6hlHDoRumJXhIWjTAc,part_343,2026-09-20 20:18:12
Saraswati Sishu Udyan ( ସରସ୍ବତୀ ଶିଶୁ ଉଦ୍ୟାନ ),Play School and Daycare,Preschool,Preschool,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,4.0,,"8P77+F64 NEW PARK, Dahisada, Odisha 756045",756042,21.3134694,86.7131259,ChIJadMOHU9vHDoRIxTGDC1c42I,https://www.google.com/maps/place/?q=place_id:ChIJadMOHU9vHDoRIxTGDC1c42I,part_343,2026-09-20 20:18:12
Purnima English Medium Play School,Play School and Daycare,Day care center,"Day care center, Preschool, Kindergarten School, Playgroup, Primary school",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 72057 02944,N/A,5.0,,"NEAR, Central School Rd, Bhoisahi, Balasore, Odisha 756001",Bhoisahi,21.484334999999998,86.92544079999999,ChIJEU71xO_1HDoRDSeE46Am7-A,https://www.google.com/maps/place/?q=place_id:ChIJEU71xO_1HDoRDSeE46Am7-A,part_343,2026-09-20 20:18:12
London Kids Preschool,Play School and Daycare,Preschool,Preschool,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 78731 10084,https://www.londonkids.co.in/franchise/preschool-in-balasore.html,4.5,,"Manikhamb, Gopalgoan, Odisha 756001",Manikhamb,21.498647599999998,86.9392663,ChIJn8TxWwD1HDoRtm1rnTDJN0w,https://www.google.com/maps/place/?q=place_id:ChIJn8TxWwD1HDoRtm1rnTDJN0w,part_343,2026-09-20 20:18:12
ଆମ ଅଙ୍ଗନବାଡ଼ି କେନ୍ଦ୍ର ମାଣତ୍ରୀ-୨,Play School and Daycare,Preschool,Preschool,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,,,"8MFQ+59J, Barchhigadia, Odisha 756045",756042,21.323708,86.6894433,ChIJeVZsP5JvHDoRgzxMoXATBfQ,https://www.google.com/maps/place/?q=place_id:ChIJeVZsP5JvHDoRgzxMoXATBfQ,part_343,2026-09-20 20:18:12
Sanpatpur Anganawadi Center,Play School and Daycare,Preschool,Preschool,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,,,"CQC4+XPR, Balasore, Dakhinakuanrpur, Odisha 756040",756042,21.4224875,86.75676589999999,ChIJqzKuwc5nHDoRWvAE5SVN9wA,https://www.google.com/maps/place/?q=place_id:ChIJqzKuwc5nHDoRWvAE5SVN9wA,part_343,2026-09-20 20:18:12
Tiny Tot's Nursery School,Play School and Daycare,Nursery school,"Nursery school, Preschool, School",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 82499 04434,N/A,4.2,,"Mallikashpur, Mathasahi, Balasore, Odisha 756001",Mallikashpur,21.4864367,86.9302986,ChIJx1t_BQ_1HDoRRFWciL9mmR8,https://www.google.com/maps/place/?q=place_id:ChIJx1t_BQ_1HDoRRFWciL9mmR8,part_343,2026-09-20 20:18:12
