business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BK COMPUTER EDUCATION CENTER,Computer Training Institute,Training center,"Training center, Advertising agency, Coaching Center, Computer service, Distance Learning Center, Educational consultant, Educational institution, Education center, Tutoring service",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 90401 43123,http://www.bkcenter.in/,5.0,6.0,"1ST FLOOR, near GOPALPUR COLLEGE, Gopalpur, Apitira, Odisha 756044",756042,21.3172663,86.8200842,ChIJhUbreCFlHDoR0ovxq3LGaeY,https://www.google.com/maps/place/?q=place_id:ChIJhUbreCFlHDoR0ovxq3LGaeY,part_343,2026-09-20 20:18:12
USHAMANI COMPUTER ACADEMY,Computer Training Institute,Training center,"Training center, School",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,4.4,7.0,"Near Shani Mandir, BARAHAKOILI, Baulagadia, Odisha 756042",BARAHAKOILI,21.3654732,86.7106568,ChIJjc_ilQppHDoRYVxb6PqD5T8,https://www.google.com/maps/place/?q=place_id:ChIJjc_ilQppHDoRYVxb6PqD5T8,part_343,2026-09-20 20:18:12
Raghunath Institute of computer education,Computer Training Institute,Education center,Education center,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,,,"Gopalpur, Apitira, Odisha 756044",756042,21.3173457,86.82010319999999,ChIJswbDv3NlHDoR1mn3Av7_UVo,https://www.google.com/maps/place/?q=place_id:ChIJswbDv3NlHDoR1mn3Av7_UVo,part_343,2026-09-20 20:18:12
Innovate Computer Academy (ICA),Computer Training Institute,Education center,Education center,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,3.7,3.0,"9PVP+RM8, Shyamsundar Pur, Astia, Odisha 756041",756042,21.3945377,86.7366917,ChIJ6Tpqs2ZpHDoR_9cIRbtPKKc,https://www.google.com/maps/place/?q=place_id:ChIJ6Tpqs2ZpHDoR_9cIRbtPKKc,part_343,2026-09-20 20:18:12
Unix Computer Education,Computer Training Institute,Educational institution,Educational institution,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 95839 13992,N/A,4.9,56.0,"Utareswar, Soro, Odisha 756045",Utareswar,21.293238799999997,86.688875,ChIJeWG90ltuHDoRjXM7vdOAUAQ,https://www.google.com/maps/place/?q=place_id:ChIJeWG90ltuHDoRjXM7vdOAUAQ,part_343,2026-09-20 20:18:12
Scylence Computer Academy,Computer Training Institute,Software Training Institute,Software Training Institute,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 63715 02199,https://scylenceacademy.com/,4.8,36.0,"1st Floor, Scylence Building, College Chaka, in front of UN College Filed, Gate, Soro, Odisha 756045",Gate,21.2840281,86.6767869,ChIJmYwxvzJvHDoRWFgGudmFhUk,https://www.google.com/maps/place/?q=place_id:ChIJmYwxvzJvHDoRWFgGudmFhUk,part_343,2026-09-20 20:18:12
INNOVATE COMPUTER ACADEMY,Computer Training Institute,Education center,Education center,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 76838 78020,N/A,5.0,2.0,"7MQQ+WHM, Soro Station Road, Utareswar, Mangalpur, Soro, Odisha 756045","Utareswar, Mangalpur",21.2898398,86.6889283,ChIJdVp9JgBvHDoROvPFl8hqrgQ,https://www.google.com/maps/place/?q=place_id:ChIJdVp9JgBvHDoROvPFl8hqrgQ,part_343,2026-09-20 20:18:12
Dot institute of computer education,Computer Training Institute,Educational institution,"Educational institution, Education center",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,4.0,1.0,"New cenema road, Soro, Odisha 756045",756042,21.2835866,86.6890791,ChIJYVHORhRvHDoRrDdaxN3D9AE,https://www.google.com/maps/place/?q=place_id:ChIJYVHORhRvHDoRrDdaxN3D9AE,part_343,2026-09-20 20:18:12
SATYA SAI COMPUTER ACADEMY,Computer Training Institute,Education center,Education center,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,5.0,6.0,"9P87+73, Baulagadia, Odisha 756042",756042,21.365732599999998,86.712746,ChIJRUgOVQBpHDoRQZ1IeZR2LfI,https://www.google.com/maps/place/?q=place_id:ChIJRUgOVQBpHDoRQZ1IeZR2LfI,part_343,2026-09-20 20:18:12
Rss Computer Institute,Computer Training Institute,Education center,Education center,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,3.0,1.0,"9P93+CHC, Baulagadia, Odisha 756042",756042,21.368552299999998,86.7039059,ChIJKxlxXgBpHDoRhhOGzkKmRV0,https://www.google.com/maps/place/?q=place_id:ChIJKxlxXgBpHDoRhhOGzkKmRV0,part_343,2026-09-20 20:18:12
