business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Bharati Bhandar,Bookstore and Stationery Shop,Book store,Book store,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 94372 61776,N/A,4.1,,"SH 7, Bhanjanagar, Odisha 761126",761114,19.927627899999997,84.5834194,ChIJ8zXJ2BnrIjoRbmTj8qo8imw,https://www.google.com/maps/place/?q=place_id:ChIJ8zXJ2BnrIjoRbmTj8qo8imw,part_349,2026-09-20 20:18:23,5200
Mangal Brothers,Bookstore and Stationery Shop,Book store,"Book store, Pen store, Scrapbooking store",761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 94370 89973,N/A,4.4,,"Nuapatna Rd, Manglabag, Mangalabag, Kataka, Odisha 753001","Manglabag, Mangalabag",20.4721272,85.88588469999999,ChIJbUYBl4ANGToR-E8BRSwnXa8,https://www.google.com/maps/place/?q=place_id:ChIJbUYBl4ANGToR-E8BRSwnXa8,part_349,2026-09-20 20:18:23,5201
Adarsh Books & Stationary,Bookstore and Stationery Shop,Children's Book Store,Children's Book Store,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 93011 00910,N/A,3.7,,"Darpan Colony, Gwalior, Madhya Pradesh 474011",Darpan Colony,26.2090945,78.207002,ChIJN1uMhTvDdjkRjDdQwXenJ2Y,https://www.google.com/maps/place/?q=place_id:ChIJN1uMhTvDdjkRjDdQwXenJ2Y,part_349,2026-09-20 20:18:23,5202
Kaul Kraft,Bookstore and Stationery Shop,Book store,"Book store, Book publisher, Books Wholesaler, Children's Book Store, Comic book store, Courier service, Pen store, Stationery wholesaler",761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 97346 20536,N/A,4.9,,"G48,Rangoli Plaza, Rajasthan 302034","Shree Ram Nagar - A, Panchyawala",26.909303899999998,75.7124006,ChIJ59r6nVVLbDkR8IAu6lTg_0s,https://www.google.com/maps/place/?q=place_id:ChIJ59r6nVVLbDkR8IAu6lTg_0s,part_349,2026-09-20 20:18:23,5203
Doaba Book Shop And Stationers,Bookstore and Stationery Shop,Stationery store,"Stationery store, Copy shop, Lamination service, Book store",761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 98880 08369,N/A,4.2,,"Streeet No. 20, Daba Rd, Shimlapuri, Ludhiana, Punjab 141003",Shimlapuri,30.870119,75.875636,ChIJvZ64RZWCGjkRrlwJgSL-Vi4,https://www.google.com/maps/place/?q=place_id:ChIJvZ64RZWCGjkRrlwJgSL-Vi4,part_349,2026-09-20 20:18:23,5204
AADHYA BOOK STORE & STATIONERY,Bookstore and Stationery Shop,Book store,Book store,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",N/A,N/A,4.4,,"Tulasi icon, 2nd cross, Hanagal road, Haveri, Karnataka 581110",Ashwini Nagar,14.786745,75.39399999999999,ChIJtWyiIrVpuTsR3l4Ojln9SBM,https://www.google.com/maps/place/?q=place_id:ChIJtWyiIrVpuTsR3l4Ojln9SBM,part_349,2026-09-20 20:18:23,5205
Bajrang Book Shop,Bookstore and Stationery Shop,Stationery store,"Stationery store, Book store",761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 98725 63904,N/A,4.2,,"Bajrang Book Shop, Chandigarh Rd, Sector 38, Ludhiana, Punjab 141003",Sector 38,30.901823,75.9058204,ChIJ_dZ1AtScGjkRavjTqaRbzJk,https://www.google.com/maps/place/?q=place_id:ChIJ_dZ1AtScGjkRavjTqaRbzJk,part_349,2026-09-20 20:18:23,5206
Om Sairam Book Agency,Bookstore and Stationery Shop,Book store,Book store,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 94397 23003,http://www.omsairambooks.com/,4.9,,"OM Sairam Agency, Rugudipada, Balangir, Odisha 767001",Rugudipada,20.699090599999998,83.48053089999999,ChIJZ5miZOoPJDoRxhAdGliX_oQ,https://www.google.com/maps/place/?q=place_id:ChIJZ5miZOoPJDoRxhAdGliX_oQ,part_349,2026-09-20 20:18:23,5207
Knowledge Point Book Store,Bookstore and Stationery Shop,Book store,Book store,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",N/A,N/A,3.7,,"Jeypore - Bhawanipatna - Balangir - Bargarh Hwy, Palace Line, Balangir, Odisha 767001",Palace Line,20.6941731,83.47560759999999,ChIJ7zJoz5oOJDoRZBbNxjMdARk,https://www.google.com/maps/place/?q=place_id:ChIJ7zJoz5oOJDoRZBbNxjMdARk,part_349,2026-09-20 20:18:23,5208
Swarnabha Stationers,Bookstore and Stationery Shop,Stationery store,"Stationery store, Book store, Store",761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 89494 53535,N/A,5.0,,"Sirsi Mod, Sirsi Rd, near Royal Greens Apartments, Jaipur, Rajasthan 302041",Royal Green's Housing Society,26.922691399999998,75.6895292,ChIJJwdYSvlNbDkRp4vADG2Q94I,https://www.google.com/maps/place/?q=place_id:ChIJJwdYSvlNbDkRp4vADG2Q94I,part_349,2026-09-20 20:18:23,5209
