business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Scooby Dooby Children's Clothing Shop,Kids Wear Store,Children's clothing store,Children's clothing store,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 70087 11693,N/A,4.3,,"Sarvottam Apartments, Maachhua Bazar, Kataka, Odisha 753001",Maachhua Bazar,20.478162299999997,85.8821871,ChIJnRNUd3kSGToRp7C0A9Bn9C4,https://www.google.com/maps/place/?q=place_id:ChIJnRNUd3kSGToRp7C0A9Bn9C4,part_342,2026-09-20 20:17:51
Sahoo Gupchup And Momo,Kids Wear Store,Baby store,Baby store,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,,,"Indian overseas, Pritipur, Uttarkul, Odisha 755013",755013,20.769402,86.4690569,ChIJRYyEhf3pGzoRPRReWzzja0o,https://www.google.com/maps/place/?q=place_id:ChIJRYyEhf3pGzoRPRReWzzja0o,part_342,2026-09-20 20:17:51
Ashok Kumar Kar,Kids Wear Store,Baby store,Baby store,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,,,"Sahoo Market Complex, Infront of Durga Mandap, Manpur, Dhobakoili, Mangalpur, Odisha 755011",Manpur,20.8115936,86.5173011,ChIJUZDLykTtGzoR80j7OVlGf0U,https://www.google.com/maps/place/?q=place_id:ChIJUZDLykTtGzoR80j7OVlGf0U,part_342,2026-09-20 20:17:51
DAS VARIETY STORE,Kids Wear Store,Baby store,Baby store,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 70779 97439,N/A,,,"Hanuman Temple, Taranga Sagarpur, Panchupur, Odisha 755006",755013,20.8217483,86.4622119,ChIJxYT6XhfvGzoRo4_6JCMRbIQ,https://www.google.com/maps/place/?q=place_id:ChIJxYT6XhfvGzoRo4_6JCMRbIQ,part_342,2026-09-20 20:17:51
Nayak,Kids Wear Store,Baby store,Baby store,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 95835 27443,N/A,,,"Nayak House, Road, Uttangara, Raghunathpur, Odisha 755014",Road,20.7857928,86.43176919999999,ChIJkbsREBvvGzoRKzWtPzG9wTc,https://www.google.com/maps/place/?q=place_id:ChIJkbsREBvvGzoRKzWtPzG9wTc,part_342,2026-09-20 20:17:51
New Berries kids clothing,Kids Wear Store,Childrens Store,Childrens Store,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 97396 98749,N/A,4.8,78.0,"Nandagerkar complex, Maratha Galli Rd, near hanuman temple, Durgad Bail, New Hubli, Hubballi, Karnataka 580020","Durgad Bail, New Hubli",15.346120899999999,75.14502259999999,ChIJhc0Io2HXuDsRhBhRsE529EA,https://www.google.com/maps/place/?q=place_id:ChIJhc0Io2HXuDsRhBhRsE529EA,part_342,2026-09-20 20:17:53
Deepak Wear,Kids Wear Store,Children's clothing store,"Children's clothing store, Baby clothing store, Clothing store",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 87678 23101,https://deepakwear.carrd.co/,4.8,126.0,"Kontam Chowk, 690, Solapur, Maharashtra 413002",Mangalwar Peth,17.678656399999998,75.9107954,ChIJ5QPjXoraxTsRnFrrQMymLus,https://www.google.com/maps/place/?q=place_id:ChIJ5QPjXoraxTsRnFrrQMymLus,part_342,2026-09-20 20:17:53
Firstcry.com Store Haridwar Jwalapur,Kids Wear Store,Baby store,Baby store,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 99977 77704,http://www.firstcry.com/,4.8,1035.0,"Jwalapur Railway Station Rd, near Union Bank, Jagdish Nagar, Jwalapur, Uttarakhand 249407",Jagdish Nagar,29.929911399999998,78.1215139,ChIJ8UaYmVtJCTkRtQFSw8B4H5I,https://www.google.com/maps/place/?q=place_id:ChIJ8UaYmVtJCTkRtQFSw8B4H5I,part_342,2026-09-20 20:17:53
EXPORT SURPLUS kids wear,Kids Wear Store,Clothing store,Clothing store,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 77951 99105,N/A,4.4,16.0,"No 49, Unik Plaza, Sultanpete Main Rd, Old Tharagupet, Mamulpet, Chickpet, Bengaluru, Karnataka 560053","Old Tharagupet, Mamulpet, Chickpet",12.967516999999999,77.576067,ChIJKx1yNQgWrjsRgdjT3tlwIiI,https://www.google.com/maps/place/?q=place_id:ChIJKx1yNQgWrjsRgdjT3tlwIiI,part_342,2026-09-20 20:17:53
Mem Sahib,Kids Wear Store,Children's clothing store,"Children's clothing store, Clothing store, Women's clothing store",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 98611 37544,N/A,4.1,17.0,"FX7F+XFX, Gole Bazar, Dalaipara, Sambalpur, Odisha 768001","Gole Bazar, Dalaipara",21.464999199999998,83.9737391,ChIJMd7wzX8WIToRy57spmOzhbI,https://www.google.com/maps/place/?q=place_id:ChIJMd7wzX8WIToRy57spmOzhbI,part_342,2026-09-20 20:17:53
