business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Dr. A. K. Behera,(MBEH) , A unit of Electro Homoeopathic,Behera Complex,",Doctors,Apartment building,Apartment building,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,5.0,1.0,"QG4H+G4V, Behera Sahi Lane, Badakuanal, Chhotagadi, Odisha 755013",755013,20.7563547,86.5277966,ChIJJzG2bgDrGzoR3Gv6SYQWn_E,https://www.google.com/maps/place/?q=place_id:ChIJJzG2bgDrGzoR3Gv6SYQWn_E,part_342,2026-09-20 20:17:56
Dr.seshadev prusty,Doctors,Doctor,Doctor,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,5.0,2.0,"RFFW+548, Narana pat, kanikapada, Odisha 755011",755013,20.8229015,86.4953151,ChIJY06DfADvGzoROnKZFfCKg0o,https://www.google.com/maps/place/?q=place_id:ChIJY06DfADvGzoROnKZFfCKg0o,part_342,2026-09-20 20:17:56
SOUMYA RANJAN PANDA. HOME,Doctors,Family practice physician,Family practice physician,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,5.0,1.0,"Andhalo, Singhpur, Odisha 755013",755013,20.7340423,86.4988308,ChIJ7wyhGyzpGzoRcywqCNXoe0I,https://www.google.com/maps/place/?q=place_id:ChIJ7wyhGyzpGzoRcywqCNXoe0I,part_342,2026-09-20 20:17:56
Dr. Pratyush Kumar Moharana- Consultant Physician In Jajpur,Doctors,Doctor,"Doctor, Diabetologist",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 94390 68655,https://drpratyushkumarmoharana.getmy.clinic/?utm_source=gmb&utm_medium=web&utm_campaign=tu,5.0,125.0,"Dr. Pratyush's Clinic Jamubania, Jaraka, Odisha 755050",755013,20.7647193,86.1487989,ChIJC2ESMAZbGToRlF9DbwpDGUI,https://www.google.com/maps/place/?q=place_id:ChIJC2ESMAZbGToRlF9DbwpDGUI,part_342,2026-09-20 20:17:56
"Dr Nihar Ranjan Kar (MBBS,CCEBDM)",Doctors,Doctor,"Doctor, Diabetes center, General practitioner",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,5.0,237.0,"Jaraka, Dharmasala, Odisha 755050",755013,20.770352,86.1521592,ChIJKWTqmxhbGToRuUtPoGk3saM,https://www.google.com/maps/place/?q=place_id:ChIJKWTqmxhbGToRuUtPoGk3saM,part_342,2026-09-20 20:17:56
Dr Hemanta Kumar Moharana,Doctors,Doctor,Doctor,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 70086 65501,N/A,4.8,18.0,"Jajpur, Odisha 755001",755013,20.8503574,86.3309738,ChIJHZ-R9hHlGzoRDdDSkze7NJ8,https://www.google.com/maps/place/?q=place_id:ChIJHZ-R9hHlGzoRDdDSkze7NJ8,part_342,2026-09-20 20:17:56
Dr. Anoorag Samal,Doctors,Housing complex,Housing complex,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,,,"QGC3+H56, Sana Narigan, Sunapal, Odisha 755013",755013,20.771400399999997,86.50289149999999,ChIJ2UkDMgDrGzoRVOBqfI8XVZE,https://www.google.com/maps/place/?q=place_id:ChIJ2UkDMgDrGzoRVOBqfI8XVZE,part_342,2026-09-20 20:17:56
Dr. Kandi's home,Doctors,Housing complex,Housing complex,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,,,"RF4G+V8V, Dhanhata, Chasakhanda, Odisha 755013",755013,20.807650799999998,86.4757353,ChIJg4tzGgDvGzoRjCbm0rji7o8,https://www.google.com/maps/place/?q=place_id:ChIJg4tzGgDvGzoRjCbm0rji7o8,part_342,2026-09-20 20:17:56
Dasarathpur Hospital,Doctors,Hospital,Hospital,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,3.6,16.0,"RFJ2+MC2, Aindipur, Dasarathpur, Odisha 755006",755013,20.8323257,86.4498285,ChIJF9oUbbDvGzoRPTSgeniTV6w,https://www.google.com/maps/place/?q=place_id:ChIJF9oUbbDvGzoRPTSgeniTV6w,part_342,2026-09-20 20:17:56
Dr Debashees Nanda ENT clinic,Doctors,Hospital,Hospital,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 98611 41261,N/A,4.6,,"Radhamadhav medicine store, in front of District Headquarters Hospital, Jajpur, Odisha 755001",755013,20.850136,86.3297553,ChIJVdmcNlfjGzoRDcytTBFdMXQ,https://www.google.com/maps/place/?q=place_id:ChIJVdmcNlfjGzoRDcytTBFdMXQ,part_342,2026-09-20 20:17:57
"JN Institute of Medical Science & JN Institute of Paramedical Science, Mangalpur",Doctors,Nursing school,"Nursing school, Nursing association",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,4.8,,"Thal Kudi, Mangalpur, Odisha 755011",Thal Kudi,20.8078066,86.5230789,ChIJS1fad-LtGzoRWX3UXteCMms,https://www.google.com/maps/place/?q=place_id:ChIJS1fad-LtGzoRWX3UXteCMms,part_342,2026-09-20 20:17:57
MANGALPUR CHC,Doctors,Hospital,Hospital,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,https://sites.google.com/view/chcmangalpurjajpur/,3.5,27.0,"RG69+9HH, Manpur, Mangalpur, Odisha 755011",Manpur,20.8109356,86.5189765,ChIJK7fpyzfsGzoRXqsIa4eWhWk,https://www.google.com/maps/place/?q=place_id:ChIJK7fpyzfsGzoRXqsIa4eWhWk,part_342,2026-09-20 20:17:58
