business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jajpur Coffee House(JCH),Cafe and Coffee Shop,Coffee shop,Coffee shop,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,4.5,42.0,"AKARAPADA, Sridharpur, Odisha 755062",755013,20.819355599999998,86.3609642,ChIJAf7J8tTlGzoRry6BrH-JDx0,https://www.google.com/maps/place/?q=place_id:ChIJAf7J8tTlGzoRry6BrH-JDx0,part_342,2026-09-20 20:17:49
8 zero cafe and bakery,Cafe and Coffee Shop,Coffee shop,"Coffee shop, Bakery and Cake Shop, Cake decorating equipment shop, Cake shop, Cafe, Funeral celebrant service, Hamburger restaurant, Pizza restaurant, Sandwich shop",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 81179 33144,https://g.page/r/CY3KCGCY4AXMEAE/review,4.8,62.0,"College Rd, Jaraka, Dharmasala, Odisha 755050",755013,20.7664258,86.14946859999999,ChIJQ1eu-dVbGToRjcoIYJjgBcw,https://www.google.com/maps/place/?q=place_id:ChIJQ1eu-dVbGToRjcoIYJjgBcw,part_342,2026-09-20 20:17:49
Bake & eat cafe,Cafe and Coffee Shop,Coffee shop,Coffee shop,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 93481 02252,N/A,4.6,31.0,"P6MW+WP4, Unnamed Road, Brahmabarada, Odisha 755005",755013,20.734746599999998,86.24685029999999,ChIJlVe_MwBfGToRecULvgDRXyQ,https://www.google.com/maps/place/?q=place_id:ChIJlVe_MwBfGToRecULvgDRXyQ,part_342,2026-09-20 20:17:49
Coffee bar,Cafe and Coffee Shop,Coffee shop,"Coffee shop, Cafe",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,4.3,11.0,"MMC8+W4M, Podamari Rd, Taptapani, Podamari, Aulkana, Odisha 754219",Taptapani,20.6723465,86.6652881,ChIJ0doIbPy9GzoRDuba-Eoqu0U,https://www.google.com/maps/place/?q=place_id:ChIJ0doIbPy9GzoRDuba-Eoqu0U,part_342,2026-09-20 20:17:49
Silsila- MultiCuisine Café & Restaurant,Cafe and Coffee Shop,Restaurant,Restaurant,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,4.5,203.0,"Shyamora Hotels, near Bus Stand, Jajati Nagar, Jajpur, Odisha 755001",Jajati Nagar,20.853302,86.3337122,ChIJKZTyun_jGzoRgavaLDfgmP4,https://www.google.com/maps/place/?q=place_id:ChIJKZTyun_jGzoRgavaLDfgmP4,part_342,2026-09-20 20:17:49
Baburam Tea and cofee Shop,Cafe and Coffee Shop,Coffee shop,Coffee shop,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,4.3,24.0,"GFQ5+W3F, Baro, Odisha 754250",755013,20.5398082,86.4576615,ChIJA5FCK0DFGzoRvUBbiXT0abs,https://www.google.com/maps/place/?q=place_id:ChIJA5FCK0DFGzoRvUBbiXT0abs,part_342,2026-09-20 20:17:49
Bean & Slice Zone Cafe,Cafe and Coffee Shop,Coffee shop,Coffee shop,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,,,"WC9V+WJ3, near HP petrol pump, Dhamanagar, Odisha 756117",755013,20.9197709,86.44403349999999,ChIJQVPxo8XxGzoRjJu3JOGfClg,https://www.google.com/maps/place/?q=place_id:ChIJQVPxo8XxGzoRjJu3JOGfClg,part_342,2026-09-20 20:17:49
Thirsty Panda,Cafe and Coffee Shop,Cafe,Cafe,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 93483 06404,N/A,4.3,126.0,"Kripaloo Complex, Nahaka Chowk, near Hotel Royal Kalinga, Byasanagar, Odisha 755019",755013,20.9495938,86.1375396,ChIJf5jSMxhRGToRyya_TegxEzI,https://www.google.com/maps/place/?q=place_id:ChIJf5jSMxhRGToRyya_TegxEzI,part_342,2026-09-20 20:17:49
Uptown Rooftop Cafe,Cafe and Coffee Shop,Indian restaurant,Indian restaurant,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 63700 13079,N/A,3.6,112.0,"Uptown Rooftop Cafe, Kusuma Rd, near Ganesh Mandap, Gobind Nagar, Kalyanpur, Jajpur, Odisha 755001","Gobind Nagar, Kalyanpur",20.8439856,86.33333499999999,ChIJPQIVW_rjGzoR7FnM_t4aoM8,https://www.google.com/maps/place/?q=place_id:ChIJPQIVW_rjGzoR7FnM_t4aoM8,part_342,2026-09-20 20:17:49
ବାବା ବାଲୁଙ୍କେଶ୍ୱର ବିଟିଲ ସପ୍,Cafe and Coffee Shop,Coffee shop,Coffee shop,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,5.0,1.0,"V88X+35M, Solampur, Odisha 755007",755013,20.865201799999998,86.3479143,ChIJM4ESGQD7GzoR6QSeWeZ-daY,https://www.google.com/maps/place/?q=place_id:ChIJM4ESGQD7GzoR6QSeWeZ-daY,part_342,2026-09-20 20:17:49
