business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Subhalaxmi Unisex Salon,Unisex Salon,Beauty Parlour,Beauty Parlour,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 76068 54249,N/A,4.5,,"Daka Bangala Chowk, Plot No.- 145, near Green Market, Byasanagar, Odisha 755019",755013,20.943500699999998,86.1376264,ChIJzypJTxFRGToRbImTJeWNW9I,https://www.google.com/maps/place/?q=place_id:ChIJzypJTxFRGToRbImTJeWNW9I,part_342,2026-09-20 20:18:08
RAAZ Unisex Salon,Unisex Salon,Beauty Parlour,"Beauty Parlour, Store",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 70771 85797,N/A,4.1,,"1st Floor, Raaz Unisex Salon, above Karnataka Bank, near V Mart, Gopabandhu Chowk, Byasanagar, Odisha 755019",Gopabandhu Chowk,20.945608399999998,86.1358477,ChIJl49JjDhRGToRMON0yccLB9E,https://www.google.com/maps/place/?q=place_id:ChIJl49JjDhRGToRMON0yccLB9E,part_342,2026-09-20 20:18:08
B Town Studio,Unisex Salon,Beauty Parlour,Beauty Parlour,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 96584 83022,https://profile.nextapsolutions.com/B-TOWN-STUDIO-UNISEX-SALON-AND-ACADEMY,5.0,,"P R Peta Main Line, 3rd Lane Junction, Prasad Rao Peta, Jeypore, Odisha 764003",Prasad Rao Peta,18.8516902,82.5763435,ChIJo4tWAs_tOjoR_bZ7yun6qu4,https://www.google.com/maps/place/?q=place_id:ChIJo4tWAs_tOjoR_bZ7yun6qu4,part_342,2026-09-20 20:18:09
"CUT&STYLE Salon - Sinduria, Nayagarh",Unisex Salon,Beauty Parlour,"Beauty Parlour, Eyelash salon, Nail salon",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 98919 29185,https://salons.cutandstyle.in/sinduria-nayagarh-44800/home?utm_source=GMB,4.9,,"Ground Floor, Trinath Chowk, Holding No 13/110, Plot No 2166, Sinduria, Nayagarh, Odisha 752069",Sinduria,20.121394799999997,85.1043128,ChIJmRbpEDR7GDoRKbW_6BMT6D4,https://www.google.com/maps/place/?q=place_id:ChIJmRbpEDR7GDoRKbW_6BMT6D4,part_342,2026-09-20 20:18:09
Nikhar Unisex Salon,Unisex Salon,Beauty Parlour,Beauty Parlour,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 98611 47468,http://www.nikharunisexsalon.com/,4.9,,"Annapurna Market, near Hotel Bhubaneswari Classic, Baidiya Nath Pur, Brahmapur, Odisha 760001",Baidiya Nath Pur,19.313408,84.7887386,ChIJI99sgA5QPToRK7Kws0xX3po,https://www.google.com/maps/place/?q=place_id:ChIJI99sgA5QPToRK7Kws0xX3po,part_342,2026-09-20 20:18:09
Green Trends - Unisex Hair & Style Salon,Unisex Salon,Beauty Parlour,"Beauty Parlour, Beautician, Bridal shop, Facial spa, Hair salon, Make-up artist, Spa, Stylist, Waxing hair removal service",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 82606 02002,https://salons.mygreentrends.in/salon-in-irc-village-khordha-odisha,4.8,2801.0,"No. 535, 535, above ICICI BANK, Indradhanu Market, Block N5, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015","Indradhanu Market, Block N5, IRC Village, Nayapalli",20.2948317,85.8142862,ChIJl-wxMswJGToRDmMyLRwXNZA,https://www.google.com/maps/place/?q=place_id:ChIJl-wxMswJGToRDmMyLRwXNZA,part_342,2026-09-20 20:18:09
NAMAN UNISEX SALON,Unisex Salon,Beauty Parlour,Beauty Parlour,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 78940 50089,N/A,3.3,7.0,"Lane-3, Gangotri Nagar, Sisupalgarh, Bhubaneswar, Odisha 751002",Sisupalgarh,20.219908099999998,85.8479847,ChIJ_VMARGanGToRrHwLKCGYuLM,https://www.google.com/maps/place/?q=place_id:ChIJ_VMARGanGToRrHwLKCGYuLM,part_342,2026-09-20 20:18:09
Glamnest Unisex Salon,Unisex Salon,Beauty Parlour,"Beauty Parlour, Beautician, Make-up artist, Nail salon, Hairdresser",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 72229 22065,https://www.glamnest.in/,5.0,23.0,"First Floor, 12 E, Tulsi Nagar Rd, above Sharda Traders, Tulsi Nagar, Nipania, Indore, Madhya Pradesh 452010","Tulsi Nagar, Nipania",22.752371099999998,75.9217192,ChIJia0Lp6N3-6sRs2KgwYG5sGQ,https://www.google.com/maps/place/?q=place_id:ChIJia0Lp6N3-6sRs2KgwYG5sGQ,part_342,2026-09-20 20:18:09
Raj unisex salon jeetu and lalit,Unisex Salon,Hairdresser,"Hairdresser, Barber shop, Facial spa, Health and beauty shop, Make-up artist, Nail salon, Skin care clinic, Tanning salon",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 731 497 5999,https://www.facebook.com/Rajsalon-indore-312388425509647/,4.7,1473.0,"Rajsalon 1floor, Alok Nager, 343, Kanadia Main Rd, Alok Nagar, Indore, Madhya Pradesh 452016",Alok Nagar,22.725514999999998,75.92184,ChIJyRNSe8HiYjkR7DdbsQrtiew,https://www.google.com/maps/place/?q=place_id:ChIJyRNSe8HiYjkR7DdbsQrtiew,part_342,2026-09-20 20:18:09
Shree Hari Enterprises,Unisex Salon,Cosmetics wholesaler,Cosmetics wholesaler,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 94374 28167,http://www.saloonbazaar.com/,4.5,,"sub plot--6, Plot no-3218/5505, Kedar Gouri Vihar, Gouri Nagar, Old Town, Bhubaneswar, Odisha 751002","Kedar Gouri Vihar, Gouri Nagar, Old Town",20.241338499999998,85.839961,ChIJkacc0B2nGToRw9DvPkHQehI,https://www.google.com/maps/place/?q=place_id:ChIJkacc0B2nGToRw9DvPkHQehI,part_342,2026-09-20 20:18:10
Jaipur Salon furniture,Unisex Salon,Beauty Products Wholesaler,Beauty Products Wholesaler,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 90242 65014,http://jaipursalonfurniture.in/,4.9,,"A5/27, Automobile Nagar, Lal Dungri, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302003","Automobile Nagar, Lal Dungri",26.912504799999997,75.848524,ChIJYdpUK_m3bTkRxpyX3MOpQ5c,https://www.google.com/maps/place/?q=place_id:ChIJYdpUK_m3bTkRxpyX3MOpQ5c,part_342,2026-09-20 20:18:10
"Verceys – Barber Salon Tools, Perfumes & Grooming Store in Ludhiana",Unisex Salon,Barber supply store,"Barber supply store, Beauty supply store, Cosmetics store, Perfume store, Hairdresser",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 95013 67133,https://verceys.storewings.in/,5.0,,"Durga Puri, Haibowal Kalan, Ludhiana, Punjab 141001","Durga Puri, Haibowal Kalan",30.9246874,75.8090876,ChIJ_Wm14VWBGjkRa3euQ1qNgJI,https://www.google.com/maps/place/?q=place_id:ChIJ_Wm14VWBGjkRa3euQ1qNgJI,part_342,2026-09-20 20:18:10
Million Beauty Point,Unisex Salon,Beauty Parlour,"Beauty Parlour, Barber supply store, Beauty product supplier, Beauty Products Wholesaler, Beauty supply store, Health and beauty shop",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 97313 31747,https://www.millionbeautypoint.in/,4.7,,"million beauty point No5,s.m tower ground floor cosmetics,1st floor in salon furniture near shardha theatre opp icici bank ,o t.c, Nagarathpet Main Rd, Halsurpete, Nagarathpete, Bengaluru, Karnataka 560002","Halsurpete, Nagarathpete",12.965339,77.5851766,ChIJ79FvY-AVrjsRkNnLzVSvLU8,https://www.google.com/maps/place/?q=place_id:ChIJ79FvY-AVrjsRkNnLzVSvLU8,part_342,2026-09-20 20:18:10
Beauty Center,Unisex Salon,Beauty Products Wholesaler,"Beauty Products Wholesaler, Furniture wholesaler",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 98830 31606,N/A,4.2,,"Metro Station, 79, Vivekananda Rd, near Girish Park, Girish Park, Azad Hind Bag, Machuabazar, Kolkata, West Bengal 700006","Girish Park, Azad Hind Bag, Machuabazar",22.5862642,88.3646727,ChIJS4Mal0l2AjoRKDyMbZjDMpk,https://www.google.com/maps/place/?q=place_id:ChIJS4Mal0l2AjoRKDyMbZjDMpk,part_342,2026-09-20 20:18:10
Shantanu Beauty Products,Unisex Salon,Manufacturer,Manufacturer,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,4.8,,"Ground floor, Room, 4 no, 4 & 5, Old China Bazar St, near Ganesh Store, Kolkata, West Bengal 700001","Murgighata, B.B.D. Bagh",22.5763207,88.3507254,ChIJQQP5gXp3AjoRI9MhFojCt7M,https://www.google.com/maps/place/?q=place_id:ChIJQQP5gXp3AjoRI9MhFojCt7M,part_342,2026-09-20 20:18:10
City Collection | Cosmetics | Salon Furniture | Salon Equipment,Unisex Salon,Beauty Products Wholesaler,"Beauty Products Wholesaler, Beauty supply store, Cosmetics wholesaler",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 96053 51230,https://www.citycollectionskochi.com/,4.9,,"Shanmugham Rd, near Sridhar Theater, Marine Drive, Ernakulam, Keralam 682031",Marine Drive,9.9795002,76.2764038,ChIJsdmpqFINCDsRIjR_OWq9o-g,https://www.google.com/maps/place/?q=place_id:ChIJsdmpqFINCDsRIjR_OWq9o-g,part_342,2026-09-20 20:18:10
