business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mahavir Cybercafe,Internet Cafe,Internet cafe,Internet cafe,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 97242 95660,N/A,4.9,,"RG68+QJF, Manpur, Mangalpur, Odisha 755011",Manpur,20.8119388,86.51654979999999,ChIJPU_ipOPtGzoRvAQRV2xJTT4,https://www.google.com/maps/place/?q=place_id:ChIJPU_ipOPtGzoRvAQRV2xJTT4,part_342,2026-09-20 20:18:17
Concept Solution,Internet Cafe,Internet cafe,Internet cafe,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,https://onlineservices.proteantech.in/paam/endUserRegisterContact.html,,,"Qazi Sahi, Rambhila, Chasakhanda, Barakuti, Odisha 755013","Qazi Sahi, Rambhila",20.776885,86.4847623,ChIJtfqShqTvGzoRWIYuxMCRi5Q,https://www.google.com/maps/place/?q=place_id:ChIJtfqShqTvGzoRWIYuxMCRi5Q,part_342,2026-09-20 20:18:17
NP DIGITAL WORLD,Internet Cafe,Internet cafe,Internet cafe,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 83330 53253,N/A,5.0,,"NEAR AC HIGH SCHOOL,PHALAPUR, Singhpur, Odisha 755016",755013,20.7418619,86.5153991,ChIJud_VTmnrGzoRjQItABWapqE,https://www.google.com/maps/place/?q=place_id:ChIJud_VTmnrGzoRjQItABWapqE,part_342,2026-09-20 20:18:17
Surya Communication,Internet Cafe,Internet cafe,Internet cafe,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 91142 82731,N/A,5.0,,"Biri Pata, Odisha 755013",755013,20.7661008,86.5000256,ChIJj43u_f3rGzoRAAAA0FYXwmU,https://www.google.com/maps/place/?q=place_id:ChIJj43u_f3rGzoRAAAA0FYXwmU,part_342,2026-09-20 20:18:17
ANKITA CYBER CAFE,Internet Cafe,Computer store,Computer store,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 73778 49753,N/A,,,"Mangalpur, Odisha 755011",755013,20.8129085,86.5203377,ChIJccn4lw3tGzoRmo4G6kmN9LM,https://www.google.com/maps/place/?q=place_id:ChIJccn4lw3tGzoRmo4G6kmN9LM,part_342,2026-09-20 20:18:17
DEEPAK SAHOO,Internet Cafe,Internet cafe,Internet cafe,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 89085 16540,N/A,4.7,,"Mangalpur, Odisha 755011",755013,20.8135165,86.5116785,ChIJY41XMx3tGzoRuYmX-8YIajc,https://www.google.com/maps/place/?q=place_id:ChIJY41XMx3tGzoRuYmX-8YIajc,part_342,2026-09-20 20:18:17
Pupun Jana seva kendra and gifts,Internet Cafe,Internet cafe,Internet cafe,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,5.0,,"Singhpur Binjharpur, Odisha 755016",755013,20.6911459,86.496811,ChIJLYQgluTpGzoRkVDLbWKSQS8,https://www.google.com/maps/place/?q=place_id:ChIJLYQgluTpGzoRkVDLbWKSQS8,part_342,2026-09-20 20:18:17
KAMAL JANASEVA KENDRA (ଜନସେବା କେନ୍ଦ୍ର),Internet Cafe,Internet cafe,Internet cafe,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 95839 76608,N/A,5.0,,"Dasarathpur, Odei, Odisha 755006",755013,20.8396233,86.4378655,ChIJ_b1IeADvGzoR2rbjK6N3IkY,https://www.google.com/maps/place/?q=place_id:ChIJ_b1IeADvGzoR2rbjK6N3IkY,part_342,2026-09-20 20:18:17
Debata Xerox Point,Internet Cafe,Internet cafe,"Internet cafe, General store",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,4.3,,"State Highway 56, Dasarathpur, Odisha 755006",755013,20.8332098,86.4484779,ChIJyY3B1LHvGzoRKmyx_W9qZIs,https://www.google.com/maps/place/?q=place_id:ChIJyY3B1LHvGzoRKmyx_W9qZIs,part_342,2026-09-20 20:18:17
Das Digital Point,Internet Cafe,Internet cafe,Internet cafe,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 93372 87805,N/A,,,"QF36+MQH, Alkund, Odisha 755013",755013,20.7542933,86.4620738,ChIJnwg-VADpGzoRBSWkuTC9aR0,https://www.google.com/maps/place/?q=place_id:ChIJnwg-VADpGzoRBSWkuTC9aR0,part_342,2026-09-20 20:18:17
AKASH COMMUNICATION,Internet Cafe,Internet cafe,Internet cafe,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,5.0,,"57, Girls High School Rd, near Government, Manpur, Mangalpur, Odisha 755011",Manpur,20.8109948,86.5164994,ChIJT5OFEQDtGzoR-ckgtdA8qxA,https://www.google.com/maps/place/?q=place_id:ChIJT5OFEQDtGzoR-ckgtdA8qxA,part_342,2026-09-20 20:18:17
SAMRAT DIGITAL MULTIPLEX 2 (CSC),Internet Cafe,Internet cafe,Internet cafe,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,,,"RFF7+VR, Panchupur, Odisha 755006",755013,20.824701599999997,86.4645444,ChIJ4RRtSQDvGzoR4F6JD_zjv5k,https://www.google.com/maps/place/?q=place_id:ChIJ4RRtSQDvGzoR4F6JD_zjv5k,part_342,2026-09-20 20:18:17
UNIQUE CYBER CAFE,Internet Cafe,Internet cafe,Internet cafe,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,5.0,,"N C, College Road, Jaipur, Baidyarajpur, Odisha 755001",755013,20.8401002,86.3139595,ChIJ74K_MwDjGzoRr8rr5rG6nfQ,https://www.google.com/maps/place/?q=place_id:ChIJ74K_MwDjGzoRr8rr5rG6nfQ,part_342,2026-09-20 20:18:17
JAY JAGANNATH CSC SERVICE,Internet Cafe,Internet cafe,Internet cafe,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,,,"BAHARKULADOLOGRAM, Damodarpur, Odisha 755013",BAHARKULADOLOGRAM,20.749195,86.5108296,ChIJNcVqcxPrGzoRR2iqpc9suk4,https://www.google.com/maps/place/?q=place_id:ChIJNcVqcxPrGzoRR2iqpc9suk4,part_342,2026-09-20 20:18:17
DIGITAL WORLD IT GATEWAY,Internet Cafe,Internet cafe,Internet cafe,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 93371 06222,N/A,4.3,,"Gariapur, Belampur, Jajpur, Odisha 755001",Belampur,20.8500125,86.33808309999999,ChIJa0lLiafkGzoR1g-AeWzN1QQ,https://www.google.com/maps/place/?q=place_id:ChIJa0lLiafkGzoR1g-AeWzN1QQ,part_342,2026-09-20 20:18:17
