business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Advocate Kunal Behera,Advocate and Lawyer,Lawyer,"Lawyer, Civil defense, Civil law attorney, Consumer advice center, Criminal justice attorney, Divorce lawyer, Family law attorney, Law firm, Lawyers association, Real estate attorney",762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 94372 24255,N/A,4.9,,"Ward #2, Jaleswar Mandir Rd, opp. Ganesh Temple, Ramnagar Para, Bhawanipatna, Odisha 766001",Ramnagar Para,19.910683199999998,83.18031789999999,ChIJAQysW_frJDoRMTFaG7v0mKg,https://www.google.com/maps/place/?q=place_id:ChIJAQysW_frJDoRMTFaG7v0mKg,part_350,2026-09-20 20:18:17
S.Babu Rao Advocate,Advocate and Lawyer,Lawyer,Lawyer,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 86372 04986,N/A,4.4,,"Bissamcuttack, Bishama Katek, Odisha 765019",762021,19.5135625,83.5066875,ChIJqR0g3HesJDoRnEn6KjyEdFA,https://www.google.com/maps/place/?q=place_id:ChIJqR0g3HesJDoRnEn6KjyEdFA,part_350,2026-09-20 20:18:17
Advocate.Surendra kumar Patra Chamber,Advocate and Lawyer,Lawyer,Lawyer,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 79786 11074,N/A,5.0,,"Court Complex, Infront of Tahasildar office, Balliguda, Odisha 762103",762021,20.1990698,83.9084639,ChIJBz5BCb91IzoR96o3gyzYlMw,https://www.google.com/maps/place/?q=place_id:ChIJBz5BCb91IzoR96o3gyzYlMw,part_350,2026-09-20 20:18:17
ADVOCATE PRADEEP KUMAR PADHY,Advocate and Lawyer,Lawyers association,Lawyers association,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",N/A,N/A,5.0,,"RAM MANDIR ROAD, Dubey colony, Muniguda, Odisha 765020",Dubey colony,19.621150399999998,83.4987493,ChIJTy3uo-uvJDoRG46JIysGnrc,https://www.google.com/maps/place/?q=place_id:ChIJTy3uo-uvJDoRG46JIysGnrc,part_350,2026-09-20 20:18:17
"Ak Sahu and Associates, Advocate & Tax consultant",Advocate and Lawyer,Lawyer,Lawyer,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 89176 76240,N/A,5.0,,"At.Sanpatrapali Po.Lenjha Ps, Dist, Titilagarh, Odisha 767066",762021,20.2727888,83.0911564,ChIJz_8vx0RZJDoRb3Rd83f2Vnc,https://www.google.com/maps/place/?q=place_id:ChIJz_8vx0RZJDoRb3Rd83f2Vnc,part_350,2026-09-20 20:18:17
Bikash Naik,Advocate and Lawyer,Family law attorney,Family law attorney,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",N/A,N/A,5.0,1.0,"G6FJ+W2, Silet, Odisha 766037",762021,19.5249024,83.23010839999999,ChIJnzAMOwDLJDoRr4-YTqaH7Go,https://www.google.com/maps/place/?q=place_id:ChIJnzAMOwDLJDoRr4-YTqaH7Go,part_350,2026-09-20 20:18:17
Advocate Manas Mohanty Jaleswar Temple Road bhawanipatna,Advocate and Lawyer,Legal services,"Legal services, Law firm",762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 82498 47459,N/A,4.0,,"W56J+66M, Ramnagar Para, Bhawanipatna, Odisha 766001",Ramnagar Para,19.911093299999997,83.179909,ChIJH58lljfrJDoRrnz04vHsEd4,https://www.google.com/maps/place/?q=place_id:ChIJH58lljfrJDoRrnz04vHsEd4,part_350,2026-09-20 20:18:17
santosh dash,Advocate and Lawyer,Civil defense,"Civil defense, Bank, Criminal justice attorney",762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",N/A,N/A,4.7,,"Bhawanipatna - Balangir Hwy, Kesinga, Masani munda, Odisha 766012",762021,20.185003,83.2155058,ChIJATa5JAL1JDoR_twrNFj-_xM,https://www.google.com/maps/place/?q=place_id:ChIJATa5JAL1JDoR_twrNFj-_xM,part_350,2026-09-20 20:18:17
Advocate Jyotsna Manjari Mishra Bhawanipatna,Advocate and Lawyer,Lawyer,Lawyer,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 82498 07133,N/A,4.0,,"infornt of, Lane Number 9, Irrigation Colony, Ramnagar Para, Bhawanipatna, Odisha 766001","Irrigation Colony, Ramnagar Para",19.915087,83.1783289,ChIJnwScPHftJDoRCtZrmfTaZEg,https://www.google.com/maps/place/?q=place_id:ChIJnwScPHftJDoRCtZrmfTaZEg,part_350,2026-09-20 20:18:17
Srikanta Patnaik Advocate,Advocate and Lawyer,Legal services,Legal services,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 97766 02543,N/A,4.8,,"Gundicha Nagar, Muniguda, Odisha 765020",Gundicha Nagar,19.6221069,83.5042275,ChIJKdceHNKvJDoR_256SalVWKM,https://www.google.com/maps/place/?q=place_id:ChIJKdceHNKvJDoR_256SalVWKM,part_350,2026-09-20 20:18:17
