business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Glass and Glass,Glass and Mirror Merchant,Glass & mirror shop,"Glass & mirror shop, Glass merchant, Glass block supplier, Glass etching service, Mirror shop",762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 94389 13625,http://glassandglass.in/,4.5,,"In front of: Oriental Bank of Commerce, Mahatab Rd, near Petrol Pump, Kataka, Odisha 753001",Bajrakabati,20.461901599999997,85.8856667,ChIJzcKQ1oINGToRd-G9GDxYVGg,https://www.google.com/maps/place/?q=place_id:ChIJzcKQ1oINGToRd-G9GDxYVGg,part_350,2026-09-20 20:18:04
STAR GLASS & ART WORK,Glass and Mirror Merchant,Glass & mirror shop,"Glass & mirror shop, Glass shop, Glass cutting service, Glass etching service, Glasses repair service",762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 70080 35103,N/A,4.9,,"Basuaghai, Cuttack - Puri Bypass Rd, near Sai mandir traffic chhak, Bhubaneswar, Odisha 751002",Baragarh,20.238134499999997,85.86040589999999,ChIJ10mpyj-nGToRxf-FABBQii4,https://www.google.com/maps/place/?q=place_id:ChIJ10mpyj-nGToRxf-FABBQii4,part_350,2026-09-20 20:18:04
B.N.S GLASS,Glass and Mirror Merchant,Glass & mirror shop,"Glass & mirror shop, Furniture accessories, Glass etching service, Hardware store, Kitchen furniture store, Stained glass studio",762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 77353 45670,N/A,4.9,,"Jaunliapatty, Choudhury Bazar, Nandi Sahi, Kataka, Odisha 753009","Choudhury Bazar, Nandi Sahi",20.463950999999998,85.866841,ChIJeaYzAvMNGToRXpOTB4AKUJk,https://www.google.com/maps/place/?q=place_id:ChIJeaYzAvMNGToRXpOTB4AKUJk,part_350,2026-09-20 20:18:04
Sri Maa Glass House,Glass and Mirror Merchant,Glass cutting service,Glass cutting service,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 98614 42523,N/A,5.0,,"CWW2+282, Khanna Nagar, Industrial Estate Khapuria, Kataka, Odisha 753010","Khanna Nagar, Industrial Estate Khapuria",20.445000999999998,85.9007586,ChIJM53iD0sNGToRF3uy2cuUAVM,https://www.google.com/maps/place/?q=place_id:ChIJM53iD0sNGToRF3uy2cuUAVM,part_350,2026-09-20 20:18:04
DIAMOND GLASS AND ART WORK,Glass and Mirror Merchant,Glass & mirror shop,Glass & mirror shop,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 98536 75350,N/A,4.9,,"Laxmisagar Canal Rd, Santoshi Vihar Square, Laxmisagar, Bhubaneswar, Odisha 751006","Santoshi Vihar Square, Laxmisagar",20.265168,85.8572779,ChIJD5h-xrCgGToRH2U63AuxL1k,https://www.google.com/maps/place/?q=place_id:ChIJD5h-xrCgGToRH2U63AuxL1k,part_350,2026-09-20 20:18:04
Ganapati Glass,Glass and Mirror Merchant,Glass & mirror shop,Glass & mirror shop,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 98613 71228,N/A,4.0,,"1st miiatery main road Lane Near Paltan Masjid, Berhmapur, Odisha 760001",Baidiya Nath Pur,19.3160407,84.79089379999999,ChIJaycViA1QPToRePvV_M5iIFw,https://www.google.com/maps/place/?q=place_id:ChIJaycViA1QPToRePvV_M5iIFw,part_350,2026-09-20 20:18:04
Shiva Glass House,Glass and Mirror Merchant,Glass manufacturer,Glass manufacturer,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 94399 53552,N/A,4.7,,"Jobra Rd, Jobra Colony, Kataka, Odisha 753003",Jobra Colony,20.473525799999997,85.89705699999999,ChIJWUqEebQTGToR3LTvHct02PQ,https://www.google.com/maps/place/?q=place_id:ChIJWUqEebQTGToR3LTvHct02PQ,part_350,2026-09-20 20:18:04
A B Glass & Mirrors (Factory),Glass and Mirror Merchant,Glass & mirror shop,"Glass & mirror shop, Glass block supplier, Glass cutting service, Glass etching service, Glass industry, Glass merchant, Glass repair service, Glassware wholesaler, Hardware store, Mirror shop",762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 80860 08690,http://abglass.in/,4.8,,"Model Engineering College Road, Model Engineering College, Karimakkad, Thrikkakara, Edappally, Ernakulam, Kochi, Keralam 682021","Model Engineering College, Karimakkad, Thrikkakara, Edappally",10.0275611,76.3296154,ChIJN3c6hFoMCDsRRTB7t45CqTE,https://www.google.com/maps/place/?q=place_id:ChIJN3c6hFoMCDsRRTB7t45CqTE,part_350,2026-09-20 20:18:04
Royal Glass Design,Glass and Mirror Merchant,Glass & mirror shop,"Glass & mirror shop, Hardware store",762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 94393 68086,N/A,3.1,,"63, Cuttack - Puri Rd, Near Fly Over Bridge, Jharapada, Bhubaneswar, Odisha 751006",Jharapada,20.276699999999998,85.85348359999999,ChIJuVSU_KugGToRoDxybRAkfVM,https://www.google.com/maps/place/?q=place_id:ChIJuVSU_KugGToRoDxybRAkfVM,part_350,2026-09-20 20:18:04
Dash glass company,Glass and Mirror Merchant,Glass shop,Glass shop,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 94381 80180,http://dashglasscompany.com/,4.9,10.0,"Infront of SCS College, REO Colony, VIP Rd, Puri, Odisha 752001",762021,19.8035419,85.8312485,ChIJCWRaRR7EGToRsHoQ6dvaL5I,https://www.google.com/maps/place/?q=place_id:ChIJCWRaRR7EGToRsHoQ6dvaL5I,part_350,2026-09-20 20:18:05
