business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Rakesh Nayak,Auto Spare Parts Shop,Auto parts store,Auto parts store,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 81448 77674,N/A,,,"Badadanda Sahi, Dharakote, Odisha 761107",761114,19.6424,84.5787952,ChIJfbI8waHJIjoRu9oh3yj7hPI,https://www.google.com/maps/place/?q=place_id:ChIJfbI8waHJIjoRu9oh3yj7hPI,part_349,2026-09-20 20:18:10
krishna spare parts,Auto Spare Parts Shop,Auto parts store,Auto parts store,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 94371 69979,N/A,4.8,,"RR5J+VGG, VIP Rd, in front of reserve police line, Puri, Odisha 752001",761114,19.8096984,85.8313173,ChIJJ1kfnszHGToR5bEnfwLYq-I,https://www.google.com/maps/place/?q=place_id:ChIJJ1kfnszHGToR5bEnfwLYq-I,part_349,2026-09-20 20:18:10
Rabi Enterprises,Auto Spare Parts Shop,Auto parts store,Auto parts store,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 93488 66338,N/A,5.0,,"Shop No 03, Daringbadi, Odisha 762104",761114,19.9075412,84.12476439999999,ChIJpdeDpLwZIzoRNZATkvYa05U,https://www.google.com/maps/place/?q=place_id:ChIJpdeDpLwZIzoRNZATkvYa05U,part_349,2026-09-20 20:18:10
SAI AUTOMOBILES,Auto Spare Parts Shop,Auto parts store,Auto parts store,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 88953 86817,N/A,5.0,,"Balliguda Main Rd, Balliguda, Indiraj, Odisha 762103",761114,20.189861999999998,83.9263328,ChIJ3cJTw691IzoRYIY0_rrUCdQ,https://www.google.com/maps/place/?q=place_id:ChIJ3cJTw691IzoRYIY0_rrUCdQ,part_349,2026-09-20 20:18:10
A M Automobiles,Auto Spare Parts Shop,Auto parts store,Auto parts store,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 99864 38658,N/A,4.3,,"1st Floor, Bus Stop, 13/1, Hosur Rd, next to Bommanahalli, Popular Colony, Mangammanapalya, Bengaluru, Karnataka 560068","Popular Colony, Mangammanapalya",12.9057281,77.630045,ChIJb25PT-sUrjsRGkXZ6k4w_ng,https://www.google.com/maps/place/?q=place_id:ChIJb25PT-sUrjsRGkXZ6k4w_ng,part_349,2026-09-20 20:18:10
UPKAR ENTERPRISES - Car Parts & Accessories,Auto Spare Parts Shop,Auto parts store,"Auto parts store, Auto Accessories Wholesaler, Auto machine shop, Auto Accessories Store, DS Automobiles dealer, Truck parts supplier",761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 94250 53094,N/A,5.0,,"78, Tilak Nagar Main Rd, Tilak Nagar, Indore, Madhya Pradesh 452018",Tilak Nagar,22.7189248,75.8958006,ChIJEZRiXG39YjkR2glgKkY3xCM,https://www.google.com/maps/place/?q=place_id:ChIJEZRiXG39YjkR2glgKkY3xCM,part_349,2026-09-20 20:18:10
Ahuja Auto Parts,Auto Spare Parts Shop,Auto parts store,Auto parts store,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 88174 46002,N/A,4.2,,"12-A Kibe Compound, Chhoti Gwaltoli, Indore, Madhya Pradesh 452001",Chhoti Gwaltoli,22.7132395,75.8729962,ChIJAQAA0Bb9YjkR9jQAJdBegmw,https://www.google.com/maps/place/?q=place_id:ChIJAQAA0Bb9YjkR9jQAJdBegmw,part_349,2026-09-20 20:18:10
Shree Sai Auto Motor Parts,Auto Spare Parts Shop,Auto parts store,Auto parts store,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 93523 84100,N/A,4.8,,"43, Boring Rd, Bismilla Colony, Jagannath Puri, Jhotwara, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302012","Bismilla Colony, Jagannath Puri, Jhotwara",26.946478499999998,75.7473569,ChIJG7XE3DOzbTkRmB5VzVmcvHA,https://www.google.com/maps/place/?q=place_id:ChIJG7XE3DOzbTkRmB5VzVmcvHA,part_349,2026-09-20 20:18:10
New Jaipur Autoparts,Auto Spare Parts Shop,Auto parts store,Auto parts store,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 95092 44040,N/A,4.7,,"A-19 Link Jalupura Road, Mirza Ismail Rd, Jaipur, Rajasthan 302001",Pink City,26.9183797,75.8060223,ChIJgZdhIYy1bTkRY_Zl3vKEkI8,https://www.google.com/maps/place/?q=place_id:ChIJgZdhIYy1bTkRY_Zl3vKEkI8,part_349,2026-09-20 20:18:10
Indore Auto Parts,Auto Spare Parts Shop,Auto parts store,Auto parts store,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 98268 11252,N/A,4.0,,"Shalini Complex, 14/6, Chhoti Gwaltoli, Indore, Madhya Pradesh 452001",Chhoti Gwaltoli,22.7143434,75.87319509999999,ChIJ_RXTcxf9YjkRieSC7-Ztgnc,https://www.google.com/maps/place/?q=place_id:ChIJ_RXTcxf9YjkRieSC7-Ztgnc,part_349,2026-09-20 20:18:10
