business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shanti Homeo Clinic,Homeopathic Clinic,Homeopath,Homeopath,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 94372 04035,N/A,5.0,,"Utkal Spectrum Prabhakar Regency, near Utkal Cinema hall, Triveni Nagar, Brahmapur, Odisha 760002",Triveni Nagar,19.3127438,84.7785782,ChIJWVn0qgJRPToRTo2tQEpPKj8,https://www.google.com/maps/place/?q=place_id:ChIJWVn0qgJRPToRTo2tQEpPKj8,part_349,2026-09-20 20:18:06
Homeo Clinic,Homeopathic Clinic,Homeopath,Homeopath,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 78730 61692,N/A,5.0,,"JJR2+47H, Daringbadi - Gopalpur Rd, Mundamarai, Odisha 761114",761114,19.6403194,84.6007197,ChIJJQQxLS_IIjoRxcGAIt2SZ_w,https://www.google.com/maps/place/?q=place_id:ChIJJQQxLS_IIjoRxcGAIt2SZ_w,part_349,2026-09-20 20:18:06
Chakadola Homeo Clinic,Homeopathic Clinic,Pharmacy,Pharmacy,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 98614 95051,N/A,,,"Pariba Market Rd, Mundamarai, Odisha 761114",761114,19.6402192,84.60116359999999,ChIJ1YwFEDzJIjoRKJYLxUg8yAo,https://www.google.com/maps/place/?q=place_id:ChIJ1YwFEDzJIjoRKJYLxUg8yAo,part_349,2026-09-20 20:18:06
Satyanarayana Homeo Clinic,Homeopathic Clinic,Homeopathic pharmacy,"Homeopathic pharmacy, Doctor, Hospital, Medical clinic",761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 79789 11150,N/A,5.0,,"Pandit St, Mangalavarapeta, Triveni Nagar, Brahmapur, Odisha 760009","Mangalavarapeta, Triveni Nagar",19.3141769,84.7751873,ChIJH4WfsatRPToRyHtJN3r69E8,https://www.google.com/maps/place/?q=place_id:ChIJH4WfsatRPToRyHtJN3r69E8,part_349,2026-09-20 20:18:06
Aishwarya Homeopathy Clinic,Homeopathic Clinic,Homeopath,Homeopath,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 81443 71193,http://www.aishwaryahomeopathy.com/,4.9,,"Plot No-1294/7 CRP square, Left turn before Gugnani Tyres, Left turn after Bhambara petrol pump (Indian oil, NH 16, Nilakantha Nagar, Nayapalli, Bhubaneswar, Odisha 751012","Nilakantha Nagar, Nayapalli",20.284910399999998,85.8097394,ChIJ80Kr9tQJGToR-knrJ5kTTf8,https://www.google.com/maps/place/?q=place_id:ChIJ80Kr9tQJGToR-knrJ5kTTf8,part_349,2026-09-20 20:18:06
Dr. Annada Prasad Sarangi,Homeopathic Clinic,Homeopath,Homeopath,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 98610 75140,N/A,4.2,,"Lane No. 1, Bank Colony, Brahmapur, Odisha 760001",Bank Colony,19.3196886,84.7939717,ChIJk-qr7A5RPToRmPIf4A3yuQA,https://www.google.com/maps/place/?q=place_id:ChIJk-qr7A5RPToRmPIf4A3yuQA,part_349,2026-09-20 20:18:06
Multicare Homeopathy Clinic,Homeopathic Clinic,Homeopath,"Homeopath, Medical clinic",761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 99374 12150,https://www.multicarehomeopathy.com/,4.9,,"Chandrasekharpur, HIG-4/4, opposite BMC Kalyani Mandap, Housing Board Colony, Chandrasekharpur, Bhubaneswar, Odisha 751016","Housing Board Colony, Chandrasekharpur",20.3279271,85.82055129999999,ChIJNUC_d6cJGToRnvCYK5LzlOw,https://www.google.com/maps/place/?q=place_id:ChIJNUC_d6cJGToRnvCYK5LzlOw,part_349,2026-09-20 20:18:06
Dev Clinic,Homeopathic Clinic,Homeopath,Homeopath,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 92516 70062,N/A,4.9,,"Ground Floor, Sangam Plaza, Shop No.G-4, Plot No.1, Khatipura Rd, Angira Nagar, Jhotwara, Jaipur, Rajasthan 302012","Angira Nagar, D.K. Nagar, Jhotwara",26.937090899999998,75.7528916,ChIJxVyMK3OzbTkRS7DFk4Hw9jQ,https://www.google.com/maps/place/?q=place_id:ChIJxVyMK3OzbTkRS7DFk4Hw9jQ,part_349,2026-09-20 20:18:06
Dr. Deepika Poddar Goel ( Goels Homoeo Clinic),Homeopathic Clinic,Medical clinic,Medical clinic,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 89173 62791,N/A,4.9,,"Ganga mandir, Goels homoeo clinic, maszid lane, Kazi Bazaar Rd, behind Dr.shakti das residence, Oriya Bazar, Kataka, Odisha 753001",Oriya Bazar,20.469469699999998,85.86506849999999,ChIJV3DDLG4NGToRuFXZDtGKrJQ,https://www.google.com/maps/place/?q=place_id:ChIJV3DDLG4NGToRuFXZDtGKrJQ,part_349,2026-09-20 20:18:06
The Laduna Homoeopathic Clinic,Homeopathic Clinic,Homeopath,"Homeopath, Alternative Medicine Clinic, Counselor, Holistic medicine practitioner, Laboratory, Psychiatrist, Weight loss service",761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 141 244 0515,http://www.akladuna.com/,4.8,,"B-2/426, Chitrakoot Marg, Vaishali Nagar, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302021",Vaishali Nagar,26.9051905,75.7356545,ChIJTUvUQaK0bTkRG2jjVYG6p84,https://www.google.com/maps/place/?q=place_id:ChIJTUvUQaK0bTkRG2jjVYG6p84,part_349,2026-09-20 20:18:06
