business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Siva Travels,Bus Booking Agency,Travel agency,Travel agency,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 6784 240 273,N/A,2.9,,"3GC4+QGC, Bypass Rd, Bankashi, Bhadrak, Odisha 756100",Bankashi,21.0719396,86.50626059999999,ChIJSW2DERsKHDoRLO2BuwQaj5g,https://www.google.com/maps/place/?q=place_id:ChIJSW2DERsKHDoRLO2BuwQaj5g,part_344,2026-09-20 20:18:00
Chittaranjan travels,Bus Booking Agency,Travel agency,Travel agency,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 80935 02008,https://www.chittatravels.com/,5.0,,"Railway Station, Bhadrak, Charampa, Odisha 756101",756133,21.0909601,86.51687249999999,ChIJYyYZu3wLHDoRScSFynE_Ym8,https://www.google.com/maps/place/?q=place_id:ChIJYyYZu3wLHDoRScSFynE_Ym8,part_344,2026-09-20 20:18:00
Rudrabaidyanath travels,Bus Booking Agency,Travel agency,Travel agency,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 79780 36610,https://rudrabainathtravels.shop/,5.0,,"Bhadrak, Charampa, Odisha 756101",756133,21.0928503,86.51773519999999,ChIJeVPC2cQLHDoRxsaUxk1EnMU,https://www.google.com/maps/place/?q=place_id:ChIJeVPC2cQLHDoRxsaUxk1EnMU,part_344,2026-09-20 20:18:00
Baba swapneswar tour and travels,Bus Booking Agency,Travel agency,Travel agency,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 99379 75982,N/A,5.0,,"Mallikashpur, Balasore, Odisha 756001",Mallikashpur,21.4872411,86.93752429999999,ChIJj9r6SJD1HDoRKSLuKste-Bo,https://www.google.com/maps/place/?q=place_id:ChIJj9r6SJD1HDoRKSLuKste-Bo,part_344,2026-09-20 20:18:00
Near by travels,Bus Booking Agency,Travel agency,Travel agency,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 99376 09550,N/A,5.0,,"Rahansal, Chandikhol, Khosalpur, Odisha 755024",Rahansal,20.7149529,86.1235537,ChIJu-EOQ8JdGToRWTj3zr_2SUU,https://www.google.com/maps/place/?q=place_id:ChIJu-EOQ8JdGToRWTj3zr_2SUU,part_344,2026-09-20 20:18:00
ROYAL TRAVELS,Bus Booking Agency,Bus tour agency,Bus tour agency,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 89175 10570,N/A,,,"Bagurai, Bhadrak, Odisha 756135",Bagurai,21.0637333,86.4739348,ChIJ4zW82_0JHDoRmJB2yM3j_oY,https://www.google.com/maps/place/?q=place_id:ChIJ4zW82_0JHDoRmJB2yM3j_oY,part_344,2026-09-20 20:18:00
Mohapatra Bus Advance Booking Counter,Bus Booking Agency,Bus ticket agency,Bus ticket agency,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 94382 86269,N/A,3.0,,"3F5V+HPF, Bonth, Chhak, Bhadrak, Odisha 756100",Samaraipur,21.0589281,86.4942974,ChIJb3BK4f0JHDoRzoSc5PJAN4I,https://www.google.com/maps/place/?q=place_id:ChIJb3BK4f0JHDoRzoSc5PJAN4I,part_344,2026-09-20 20:18:00
Chandbali dhamra aradi ferry line,Bus Booking Agency,Ferry Service Provider,Ferry Service Provider,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",N/A,N/A,4.0,,"Bus Stand, Chandbali, Odisha 756133",756133,20.771369399999998,86.7376111,ChIJv-2tuk2XGzoRzbk8uvShH7Y,https://www.google.com/maps/place/?q=place_id:ChIJv-2tuk2XGzoRzbk8uvShH7Y,part_344,2026-09-20 20:18:00
Jay Krishna Travels,Bus Booking Agency,Travel agency,Travel agency,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 70080 86927,N/A,4.8,,"near CHANDIPUR, Chandipur, Odisha 756025",756133,21.4519113,87.03831149999999,ChIJYf3maACNHDoRm9olUqfKffw,https://www.google.com/maps/place/?q=place_id:ChIJYf3maACNHDoRm9olUqfKffw,part_344,2026-09-20 20:18:01
Bus Yatri,Bus Booking Agency,Bus ticket agency,Bus ticket agency,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 81121 28112,http://www.busyatri.co.in/,4.9,,"Dharam Vihar, Jagamara, Bhubaneswar, Odisha 751030","Dharam Vihar, Jagamara",20.2616156,85.7940026,ChIJaTerZQCnGToRLNsVoyzme_s,https://www.google.com/maps/place/?q=place_id:ChIJaTerZQCnGToRLNsVoyzme_s,part_344,2026-09-20 20:18:01
Haraparbati travels and polluion centre,Bus Booking Agency,Travel agency,"Travel agency, Smog inspection station",756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 98610 10611,N/A,4.8,,"At-Routarapur,unit-3, Odisha 755001",756133,20.847853999999998,86.32352759999999,ChIJjYShyyHjGzoRTtNU6Jovra8,https://www.google.com/maps/place/?q=place_id:ChIJjYShyyHjGzoRTtNU6Jovra8,part_344,2026-09-20 20:18:01
sahu travels Express,Bus Booking Agency,Travel agency,"Travel agency, Bus charter, Bus tour agency, Car leasing service, Chauffeur service, Limousine service, Taxi service, Tour agency, Tour operator, Transportation service",756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 90760 98868,https://sahutravelsexpress.my.canva.site/sahu-travels-express-99,5.0,,"3, Kapileswar Vihar Rd, Palasuni, Rasulgarh, Bhubaneswar, Odisha 751025","Palasuni, Rasulgarh",20.302071299999998,85.8695724,ChIJ7egZyZsLGToR_Y2CoOsyp-E,https://www.google.com/maps/place/?q=place_id:ChIJ7egZyZsLGToR_Y2CoOsyp-E,part_344,2026-09-20 20:18:01
BONTH Chhaka Bus Stand,Bus Booking Agency,Bus depot,Bus depot,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",N/A,N/A,4.2,,"3F5V+PF2, SH 53, Naripur, Bhadrak, Odisha 756100",Naripur,21.059254499999998,86.493628,ChIJW1HBUioJHDoR1DVk2lLLkhs,https://www.google.com/maps/place/?q=place_id:ChIJW1HBUioJHDoR1DVk2lLLkhs,part_344,2026-09-20 20:18:01
Bishal Travels Chandipur,Bus Booking Agency,Travel agency,Travel agency,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 88478 24334,https://youtube.com/@bishaltravelschandipur?si=tBPGh43hiul6wlTh,5.0,,"Chandipur, Odisha 756025",756133,21.4515401,87.03876489999999,ChIJ38MeCvfzHDoRyifSiemheyM,https://www.google.com/maps/place/?q=place_id:ChIJ38MeCvfzHDoRyifSiemheyM,part_344,2026-09-20 20:18:01
Best travels,Bus Booking Agency,Travel agency,Travel agency,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 78094 78327,N/A,4.4,10.0,"Buddha Vihar, Kuansh, Bhadrak, Odisha 756100",Buddha Vihar,21.0623032,86.5037105,ChIJoaEHG-sLHDoRtIg_lUDBDtA,https://www.google.com/maps/place/?q=place_id:ChIJoaEHG-sLHDoRtIg_lUDBDtA,part_344,2026-09-20 20:18:01
