business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Hotel Kitchen Garden Bhadrak,Pure Veg Restaurant,Restaurant,Restaurant,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",N/A,N/A,3.8,,"bus stand, NH-16, New, Bhadrak, Odisha 756100",Bankashi,21.07462,86.5029282,ChIJ56CYmeELHDoRQMLedsd4yCw,https://www.google.com/maps/place/?q=place_id:ChIJ56CYmeELHDoRQMLedsd4yCw,part_344,2026-09-20 20:17:46
SWAD A/C Family Restaurant,Pure Veg Restaurant,Family restaurant,Family restaurant,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",N/A,N/A,3.5,,"PVX7+C5M, Dangamala, Bankual, Odisha 754248",756133,20.7485931,86.86290849999999,ChIJGylK3oCfGzoRPV4_PanLoQc,https://www.google.com/maps/place/?q=place_id:ChIJGylK3oCfGzoRPV4_PanLoQc,part_344,2026-09-20 20:17:46
"Hotel Red Crab,Bhitarakanika",Pure Veg Restaurant,Indian restaurant,Indian restaurant,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 97777 75572,N/A,4.1,,"Bhitarkanika, Odisha 754248",756133,20.7439504,86.866433,ChIJs3QYV1eeGzoRe4gTqCclyBA,https://www.google.com/maps/place/?q=place_id:ChIJs3QYV1eeGzoRe4gTqCclyBA,part_344,2026-09-20 20:17:46
TOP N TOWN,Pure Veg Restaurant,Restaurant,Restaurant,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 755 404 6600,http://topntown.com/,4.2,,"Kantapada Bazar, Gangadharpur, Odisha 754220",756133,20.738103199999998,86.7052908,ChIJj2MAjPqXGzoRW7epNs9127Y,https://www.google.com/maps/place/?q=place_id:ChIJj2MAjPqXGzoRW7epNs9127Y,part_344,2026-09-20 20:17:46
Golden Anchor Pvt Ltd,Pure Veg Restaurant,Restaurant,"Restaurant, Bar, Caterer, Conference center, Marriage celebrant, Hotel",756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 6722 222 649,http://www.hotelgoldenanchor.com/,4.0,,"Narasinghaprasad, Odisha 756171",756133,20.830838,86.92592599999999,ChIJJ_MiIst3GzoRyqasC57jOhw,https://www.google.com/maps/place/?q=place_id:ChIJJ_MiIst3GzoRyqasC57jOhw,part_344,2026-09-20 20:17:46
Veg Vibes The Restrocafe (Without Onion Garlic),Pure Veg Restaurant,Vegetarian restaurant,Vegetarian restaurant,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 91144 44550,N/A,4.2,120.0,"beside Provisuals, Near, Chhapulia Bridge, Bhadrak, Odisha 756100",756133,21.075376199999997,86.5099601,ChIJIRCzwdQLHDoRpBSIG7Ru4tc,https://www.google.com/maps/place/?q=place_id:ChIJIRCzwdQLHDoRpBSIG7Ru4tc,part_344,2026-09-20 20:17:47
Sand Pebbles Bhitarkanika Jungle Resorts,Pure Veg Restaurant,Resort hotel,"Resort hotel, Hotel",756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 99370 27574,http://www.bhitarkanikanationalpark.com/,4.5,567.0,"Khola, Dangmal ( Rajnagar), Bhitarkanika National Park, Odisha 754248",756133,20.7140612,86.82280089999999,ChIJDR2-P1aiGzoROcMHbLZiAj4,https://www.google.com/maps/place/?q=place_id:ChIJDR2-P1aiGzoROcMHbLZiAj4,part_344,2026-09-20 20:17:47
JUNGLE AVENGERS RESORT,Pure Veg Restaurant,Resort hotel,Resort hotel,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 84478 45778,https://www.jungleavengers.com/,4.7,749.0,"Bhitarkanika National Park, Boating Point, Khola, Rajnagar, Bhitarkanika, Paramanandpur, Odisha 754248",Rajnagar,20.7180428,86.8204174,ChIJc5NXb82YGzoRpDxyP5GNNvY,https://www.google.com/maps/place/?q=place_id:ChIJc5NXb82YGzoRpDxyP5GNNvY,part_344,2026-09-20 20:17:47
New Bhadrak Pure Veg (No onion No garlic),Pure Veg Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Sweets and dessert buffet, Fast food restaurant, Hotel, Restaurant, South Indian restaurant",756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 94375 12298,N/A,4.6,10.0,"Rajghat chhak, Kuansh Rd, near Salandi Guest House, Bankashi, Bhadrak, Odisha 756100",Bankashi,21.0674738,86.5053667,ChIJnRSZqD0LHDoRVXylQpv87BQ,https://www.google.com/maps/place/?q=place_id:ChIJnRSZqD0LHDoRVXylQpv87BQ,part_344,2026-09-20 20:17:47
The Veg Vibes,Pure Veg Restaurant,Restaurant,"Restaurant, Cafe",756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 91144 44550,N/A,3.0,,"Chhapulia, Bypass, Puruna Bazar, Bhadrak, Odisha 756100",Puruna Bazar,21.052188299999997,86.5148133,ChIJ______P1GzoRmQxQTZHRvt4,https://www.google.com/maps/place/?q=place_id:ChIJ______P1GzoRmQxQTZHRvt4,part_344,2026-09-20 20:17:49
