business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
7VQJ+GQM Reddy Commercial Complex,Commercial Complex,Building,Building,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",N/A,N/A,,,"7VQJ+GQM Berhampur University, Road, Satyanarayanpur, Korapalli, Odisha 760007",Satyanarayanpur,19.2887903,84.882015,ChIJC-SxWcFZPToRuetiKtO06H4,https://www.google.com/maps/place/?q=place_id:ChIJC-SxWcFZPToRuetiKtO06H4,part_348,2026-09-20 20:18:30
Sagarika Shopping Complex Parking,Commercial Complex,Public parking space,Public parking space,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",N/A,N/A,2.7,,"7V2F+WGM, Gopalpur Cantonment, Hatipada, Gopalpur, Odisha 761052",Gopalpur Cantonment,19.2523412,84.8738024,ChIJc5o5hYlZPToRBNKGBPRnrcc,https://www.google.com/maps/place/?q=place_id:ChIJc5o5hYlZPToRBNKGBPRnrcc,part_348,2026-09-20 20:18:30
Chandini Store,Commercial Complex,Shopping mall,Shopping mall,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 98537 00685,N/A,3.9,,"7VMJ+FG5, Korapalli, Odisha 761002",761002,19.2836499,84.88135919999999,ChIJOagpmcBZPToRmKGni9CredA,https://www.google.com/maps/place/?q=place_id:ChIJOagpmcBZPToRmKGni9CredA,part_348,2026-09-20 20:18:30
Patttanayak Business Complex (Budhababu),Commercial Complex,Transportation service,Transportation service,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",N/A,N/A,5.0,,"7QWX+FFF, Lanjipalli, Brahmapur, Odisha 760005",Lanjipalli,19.296181,84.79865679999999,ChIJrYWzKsFbPToR7MCv91KCOY0,https://www.google.com/maps/place/?q=place_id:ChIJrYWzKsFbPToR7MCv91KCOY0,part_348,2026-09-20 20:18:30
"Korapali, 7VQJ+GQM Reddy Commercial Complex",Commercial Complex,Commercial Complex,Commercial Complex,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",N/A,N/A,,,"7VQJ+GQM Reddy Commercial Complex, Berhampur University, Road, Satyanarayanpur, Korapalli, Odisha 760007",Satyanarayanpur,19.2887903,84.882015,ChIJ__8DWcFZPToR57p0GLE1FiA,https://www.google.com/maps/place/?q=place_id:ChIJ__8DWcFZPToR57p0GLE1FiA,part_348,2026-09-20 20:18:30
Ash0kpadhy Chikencenter,Commercial Complex,Shopping mall,Shopping mall,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",N/A,N/A,4.0,,"Unnamed Road, Sri Hari Nagar, Brahmapur, Odisha 760010",Sri Hari Nagar,19.297925,84.8286356,ChIJWXmPInFaPToR6RqDbdtW_2E,https://www.google.com/maps/place/?q=place_id:ChIJWXmPInFaPToR6RqDbdtW_2E,part_348,2026-09-20 20:18:30
Lalmohan Sadangi Business complex,Commercial Complex,Market,Market,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",N/A,N/A,,,"8R69+8RJ, Neelanchal Nagar, Gajapati Nagar, Brahmapur, Odisha 760004","Neelanchal Nagar, Gajapati Nagar",19.310845,84.8195124,ChIJDXVaKx5RPToR5Ml6PycbDO4,https://www.google.com/maps/place/?q=place_id:ChIJDXVaKx5RPToR5Ml6PycbDO4,part_348,2026-09-20 20:18:30
SHREE UDYOG,Commercial Complex,Shopping mall,Shopping mall,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 98610 26773,N/A,5.0,,"Ankuli Main Rd, Panchasila Nagar, Brahmapalli, Brahmapur, Odisha 760010","Panchasila Nagar, Brahmapalli",19.302200499999998,84.8215254,ChIJD67jYgBbPToRuc45vcN7ztk,https://www.google.com/maps/place/?q=place_id:ChIJD67jYgBbPToRuc45vcN7ztk,part_348,2026-09-20 20:18:30
Upcomming Commercial Complex,Commercial Complex,Shopping mall,Shopping mall,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",N/A,N/A,,,"8R43+HPP, Kamapalli, Brahmapur, Odisha 760004",Kamapalli,19.306453599999998,84.8043185,ChIJ____i3dQPToRsupVXboKkfY,https://www.google.com/maps/place/?q=place_id:ChIJ____i3dQPToRsupVXboKkfY,part_348,2026-09-20 20:18:30
Spectrum Premier Apartment,Commercial Complex,Apartment building,Apartment building,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",N/A,N/A,4.1,129.0,"8Q4X+9Q4, Zanana Hospital Rd, Tata Benz Square, Godavarish Nagar, Brahmapur, Odisha 760001","Tata Benz Square, Godavarish Nagar",19.3058816,84.7994646,ChIJEUpDdXZQPToRzq6WcL8YmNk,https://www.google.com/maps/place/?q=place_id:ChIJEUpDdXZQPToRzq6WcL8YmNk,part_348,2026-09-20 20:18:30
