business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dj Ramu ( POWERFUL DJ ),Sound and Light Rental,DJ service,DJ service,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 94394 88953,N/A,5.0,,"Manguwari Peta, Ps, Chamakhandi, Chatrapur, Odisha 761045",761002,19.3157992,84.9312049,ChIJK62zXoVXPToRHLHV9qRji1k,https://www.google.com/maps/place/?q=place_id:ChIJK62zXoVXPToRHLHV9qRji1k,part_348,2026-09-20 20:18:11
Santosh Light And Sound,Sound and Light Rental,Audiovisual equipment rental service,Audiovisual equipment rental service,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 96580 00429,N/A,5.0,,"Main Road, Gosani Nuagan St, near Gokul DhamRajiv Gandhi Market, Gosani Nuagam, Brahmapur, Odisha 760003",Gosani Nuagam,19.2974534,84.79227399999999,ChIJEb28OqJaPToRgg4Fl6fTp30,https://www.google.com/maps/place/?q=place_id:ChIJEb28OqJaPToRgg4Fl6fTp30,part_348,2026-09-20 20:18:11
Swati Light & Sound,Sound and Light Rental,Audiovisual equipment rental service,"Audiovisual equipment rental service, Stage lighting equipment supplier",761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 97777 22493,N/A,,,"Main Road, Ambapua Rd, Ambapua, Vivak Bihar, Brahmapur, Odisha 760011","Ambapua, Vivak Bihar",19.3160372,84.8493714,ChIJo3VzSa5QPToR486aQEx_5l8,https://www.google.com/maps/place/?q=place_id:ChIJo3VzSa5QPToR486aQEx_5l8,part_348,2026-09-20 20:18:11
Panda Light & Sound,Sound and Light Rental,Party equipment rental service,"Party equipment rental service, DJ service",761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 94373 24234,N/A,5.0,,"8Q5W+2X3, Utkal Ashram Rd, Godavarish Nagar, Brahmapur, Odisha 760001",Godavarish Nagar,19.307505199999998,84.7974231,ChIJbzuQUnRQPToR06nGuODl7Lg,https://www.google.com/maps/place/?q=place_id:ChIJbzuQUnRQPToR06nGuODl7Lg,part_348,2026-09-20 20:18:11
BabaDj and light and sound,Sound and Light Rental,DJ service,DJ service,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 79785 23458,N/A,,,"Last street, B.totapalli, Odisha 761045",761002,19.353751,84.9233757,ChIJadFMsCdXPToR3r4tD1z8-Ls,https://www.google.com/maps/place/?q=place_id:ChIJadFMsCdXPToR3r4tD1z8-Ls,part_348,2026-09-20 20:18:11
DSR Pro sound & lightings in Bangalore Rental company.,Sound and Light Rental,Party equipment rental service,"Party equipment rental service, Event technology service",761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 88671 61993,N/A,4.9,42.0,"Hanumanthappa Layout, Kyalasanahalli, Bengaluru, Karnataka 560077","Hanumanthappa Layout, Kyalasanahalli",13.0578343,77.65817609999999,ChIJK_7Xee4RrjsR2OoLGsO94nM,https://www.google.com/maps/place/?q=place_id:ChIJK_7Xee4RrjsR2OoLGsO94nM,part_348,2026-09-20 20:18:12
"Sound, lighting & led dance floor rental services in hyderabad - Paul Sound and DJ Wala",Sound and Light Rental,DJ supply store,"DJ supply store, Audiovisual equipment rental service, Audio visual equipment supplier, DJ service, Service establishment, Event planner, Musical Band and Orchestra, Party equipment rental service, Stage lighting equipment supplier",761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 99665 19106,N/A,4.9,44.0,"Sound, lighting & led dance floor rental services in hyderabad - Paul Sound and DJ Wala, 761002, India",761002,17.4360887,78.4183788,ChIJeVZEq2abyzsRyvyCnOpeML8,https://www.google.com/maps/place/?q=place_id:ChIJeVZEq2abyzsRyvyCnOpeML8,part_348,2026-09-20 20:18:12
INDIATECH247: Event Management Company - Audio Visual Equipment Rental,Sound and Light Rental,Audiovisual equipment rental service,"Audiovisual equipment rental service, Karaoke equipment rental service, Party equipment rental service, Video Conferencing Service Provider",761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 99115 20247,https://www.indiatech247.com/?utm_source=gmb&utm_medium=organic&utm_campaign=it247_karawal_nagar&utm_content=homepage,4.9,156.0,"D 25, Gali No.12, Milan Garden, Block C, West Karawal Nagar, Karawal Nagar, Delhi, 110094","Milan Garden, Block C, West Karawal Nagar, Karawal Nagar",28.7268746,77.2629793,ChIJPSi4l6L-DDkRuSiKLsjWZaU,https://www.google.com/maps/place/?q=place_id:ChIJPSi4l6L-DDkRuSiKLsjWZaU,part_348,2026-09-20 20:18:12
SRS AV Tech,Sound and Light Rental,Audiovisual equipment rental service,Audiovisual equipment rental service,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 81054 57885,N/A,5.0,134.0,"241, Durga Parameshwari Layout, Pattanagere, Rajarajeshwari Nagar, Bengaluru, Karnataka 560098","Durga Parameshwari Layout, Pattanagere, Rajarajeshwari Nagar",12.919051,77.5119039,ChIJ-YFVfQA_rjsRj2Zu3xArzlI,https://www.google.com/maps/place/?q=place_id:ChIJ-YFVfQA_rjsRj2Zu3xArzlI,part_348,2026-09-20 20:18:12
Spark Sounds - Speaker and Projector on rent!,Sound and Light Rental,Audiovisual equipment rental service,"Audiovisual equipment rental service, Equipment rental agency",761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 98999 29374,N/A,5.0,60.0,"Shop No.-889, Ward no- 2, Aam Bagh, 8 SARAI, Mehrauli, New Delhi, Delhi 110030","Ward no- 2, Aam Bagh, 8 SARAI, Mehrauli",28.514973899999998,77.1786645,ChIJsYOD0_cfDTkRanHRP2wOVn8,https://www.google.com/maps/place/?q=place_id:ChIJsYOD0_cfDTkRanHRP2wOVn8,part_348,2026-09-20 20:18:12
