business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
SATYAJIT STORE,General Store,General store,General store,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,5.0,,"9QFG+8C, Sibpura, Odisha 756043",756042,21.3733233,86.7760547,ChIJE-G8PABnHDoRRW3eEjSGOGY,https://www.google.com/maps/place/?q=place_id:ChIJE-G8PABnHDoRRW3eEjSGOGY,part_343,2026-09-20 20:17:44,196
Rani V Store,General Store,General store,General store,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 83289 24529,N/A,5.0,,"Shop No -06, Bahanaga, Kamaripur, Odisha 756042",756042,21.3464201,86.7689699,ChIJo37Ks8JlHDoRHXg-fJFcS9Y,https://www.google.com/maps/place/?q=place_id:ChIJo37Ks8JlHDoRHXg-fJFcS9Y,part_343,2026-09-20 20:17:44,197
Kavyansh Stoore.,General Store,General store,General store,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,5.0,,"9PPG+275, Chintamanipur, Khadipada, Odisha 756042",756042,21.385010899999997,86.7257492,ChIJ3f6jEABpHDoRN1-GZOokJEc,https://www.google.com/maps/place/?q=place_id:ChIJ3f6jEABpHDoRN1-GZOokJEc,part_343,2026-09-20 20:17:44,198
Sumanta V Store,General Store,General store,General store,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 92172 81309,N/A,5.0,,"Shop No - 09, Bahanaga, Kamaripur, Odisha 756042",756042,21.3464277,86.7688852,ChIJV4TEZ8FlHDoRzq0oipD6wiE,https://www.google.com/maps/place/?q=place_id:ChIJV4TEZ8FlHDoRzq0oipD6wiE,part_343,2026-09-20 20:17:44,199
THE NATIONAL COMUNICATION'S,General Store,General store,General store,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 91145 61053,N/A,5.0,,"NH -16 Begunia, Chennai - Kolkata Hwy, Howrah, Begunia, Odisha 756043",756042,21.358508399999998,86.7846496,ChIJu-UbvYNnHDoRoM2bNcJdrt4,https://www.google.com/maps/place/?q=place_id:ChIJu-UbvYNnHDoRoM2bNcJdrt4,part_343,2026-09-20 20:17:44,200
Rout Shop,General Store,General store,General store,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 82493 41344,N/A,,,"Shop No -01, Bahanaga, Kamaripur, Odisha 756042",756042,21.3462635,86.7692357,ChIJSZNPZctlHDoR2-5RYO-57K8,https://www.google.com/maps/place/?q=place_id:ChIJSZNPZctlHDoR2-5RYO-57K8,part_343,2026-09-20 20:17:44,201
Behera V Store,General Store,General store,General store,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 78940 46081,N/A,,,"Shop No -08, Bidu, Barikpur, Keshapur, Odisha 756042",Bidu,21.3317201,86.74411409999999,ChIJzY7ZqmtlHDoRag57l99Mm5g,https://www.google.com/maps/place/?q=place_id:ChIJzY7ZqmtlHDoRag57l99Mm5g,part_343,2026-09-20 20:17:44,202
Maa Mangala Grocery Store,General Store,Hardware store,Hardware store,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 82708 82737,N/A,,,"Santaragadia, Balasore, Odisha 756042",756042,21.3762361,86.71677729999999,ChIJo_s8yi9pHDoRiIMoannKKQg,https://www.google.com/maps/place/?q=place_id:ChIJo_s8yi9pHDoRiIMoannKKQg,part_343,2026-09-20 20:17:44,203
Banshika Grocery,General Store,General store,General store,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 73814 70133,N/A,5.0,,"Shop No -13 Santragadia, Nuapatana, Nilagiri, Bhubaneswar, Odisha 756042",756042,21.372468899999998,86.7153222,ChIJh-GUXz9pHDoRt2iITujPYo0,https://www.google.com/maps/place/?q=place_id:ChIJh-GUXz9pHDoRt2iITujPYo0,part_343,2026-09-20 20:17:44,204
NKS Daily Mart,General Store,Indian grocery store,"Indian grocery store, Cosmetics store, Jewelry store, Pen store",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,4.0,,"NKS Daily Mart, Mendhasul Rd, in front of Tarini Temple, Balasore, Odisha 756001",Mallikashpur,21.4855058,86.9290101,ChIJkxY23xH1HDoRTkVB0Vk5CAY,https://www.google.com/maps/place/?q=place_id:ChIJkxY23xH1HDoRTkVB0Vk5CAY,part_343,2026-09-20 20:17:45,205
Mandal General Store,General Store,General store,General store,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,4.5,,"60, chakajagannthapur, Atapur, Khantapada, Odisha 756043",chakajagannthapur,21.382642699999998,86.8183329,ChIJM1dXH7RnHDoRYxRVYpWUFDs,https://www.google.com/maps/place/?q=place_id:ChIJM1dXH7RnHDoRYxRVYpWUFDs,part_343,2026-09-20 20:17:45,206
Panda veriety store,General Store,General store,General store,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,4.4,,"Belapur, Odisha 756045",756042,21.2524944,86.7448847,ChIJMVu1Kwp7HDoRe8UhcqekFiA,https://www.google.com/maps/place/?q=place_id:ChIJMVu1Kwp7HDoRe8UhcqekFiA,part_343,2026-09-20 20:17:45,207
Dada grocery,General Store,Grocery store,Grocery store,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,4.1,,"Bhaskarganj A, OT Rd, Railway Colony, Balasore, Odisha 756001",Railway Colony,21.497549799999998,86.9207412,ChIJWdKHbQD1HDoRtyvw4pPAjGY,https://www.google.com/maps/place/?q=place_id:ChIJWdKHbQD1HDoRtyvw4pPAjGY,part_343,2026-09-20 20:17:45,208
T.N Royal Variety Store (Prop- Sani )(Son of- Sk Tajuddin),General Store,General store,General store,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,4.6,,"Jaleswar, Rajpur, Odisha 756086",756042,21.7986516,87.21481899999999,ChIJEyH-BvLhHDoRx_pRALDnhco,https://www.google.com/maps/place/?q=place_id:ChIJEyH-BvLhHDoRx_pRALDnhco,part_343,2026-09-20 20:17:45,209
Papa Grocery,General Store,General store,General store,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 82492 90129,N/A,5.0,,"Arad Bazar, Balia, Balasore, Odisha 756003","Arad Bazar, Balia",21.510233,86.92558269999999,ChIJ9Rx4Pk31HDoR_Az19tElwpM,https://www.google.com/maps/place/?q=place_id:ChIJ9Rx4Pk31HDoR_Az19tElwpM,part_343,2026-09-20 20:17:45,210
Pitambara Grocery,General Store,General store,General store,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 79783 96133,N/A,5.0,,"34, FM College Rd, Azimabad, Manikhamb, Balasore, Gopalgoan, Odisha 756001","Azimabad, Manikhamb",21.4922984,86.928934,ChIJzVilkvT1HDoRN73VZSdjufA,https://www.google.com/maps/place/?q=place_id:ChIJzVilkvT1HDoRN73VZSdjufA,part_343,2026-09-20 20:17:45,211
BASANTI DAILY NEEDS,General Store,General store,"General store, Indian grocery store",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,4.6,,"behind R I H S College, near Laxman Wonder School, Jaleswarpur, Odisha 756036",756042,21.6826611,87.4074961,ChIJgwdNHQDRHDoRVRr7Nn5klzY,https://www.google.com/maps/place/?q=place_id:ChIJgwdNHQDRHDoRVRr7Nn5klzY,part_343,2026-09-20 20:17:45,212
SAI GANESH VERAITY STORE,General Store,General store,General store,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 95564 38798,N/A,4.5,,"NH 16, Utareswar, Soro, Odisha 756045",Utareswar,21.29448,86.689224,ChIJV0N3yjJvHDoRCr19d-UYEfk,https://www.google.com/maps/place/?q=place_id:ChIJV0N3yjJvHDoRCr19d-UYEfk,part_343,2026-09-20 20:17:45,213
