business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
KSV Agro Foods (Rice),Rice and Grain Merchant,Rice wholesaler,"Rice wholesaler, Rice shop, Wholesaler",759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 97900 36721,https://www.ksvagrofoods.com/,4.7,,"2/3, Brammatheertham Rd, Jawahar Bazaar, Karur, Tamil Nadu 639001",Jawahar Bazaar,10.9588316,78.07777659999999,ChIJt2ATv7ovqjsRVlLRjwABmUA,https://www.google.com/maps/place/?q=place_id:ChIJt2ATv7ovqjsRVlLRjwABmUA,part_347,2026-09-20 20:17:47
RAW RICE MILL,Rice and Grain Merchant,Food Processing Company,"Food Processing Company, Service establishment",759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",N/A,N/A,4.0,,"RAW RICE MILL, 759029, India",759029,21.0680074,82.7525294,ChIJC6DvlLBD8jkRtfGLcBbdidg,https://www.google.com/maps/place/?q=place_id:ChIJC6DvlLBD8jkRtfGLcBbdidg,part_347,2026-09-20 20:17:47
Bhoomi Rice Traders,Rice and Grain Merchant,Supermarket,Supermarket,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 80 4110 0880,N/A,4.3,,"1855, 4th Main Rd, Hal, HAL 3rd Stage, Stage 3, New Thippasandra, Bengaluru, Karnataka 560075","Hal, HAL 3rd Stage, Stage 3, New Thippasandra",12.971641499999999,77.65145319999999,ChIJL14F8qoWrjsRCtDXPyBzyY0,https://www.google.com/maps/place/?q=place_id:ChIJL14F8qoWrjsRCtDXPyBzyY0,part_347,2026-09-20 20:17:47
Sri Sai Traders Karmanghat,Rice and Grain Merchant,Rice shop,"Rice shop, Food products supplier",759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 90147 20055,http://www.srisaitraders.rice.grocery/,4.5,,"10-1-88/A, opposite Kothakapu Yadava Reddy Gardens, Nirmalanagar Colony, Sri Hanuman Nagar Colony, Kranthi Nagar, Kharmanghat, Telangana 500079","Nirmalanagar Colony, Sri Hanuman Nagar Colony, Kranthi Nagar",17.3439513,78.5335242,ChIJTw6AZ5uYyzsR_4wsWAHqbQY,https://www.google.com/maps/place/?q=place_id:ChIJTw6AZ5uYyzsR_4wsWAHqbQY,part_347,2026-09-20 20:17:47
"Kitchen Champion Basmati Rice , By Green India Rice Millers and exporters private limited",Rice and Grain Merchant,Rice mill,"Rice mill, Food Processing Company",759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 95608 42348,https://greenindiarice.com/,4.5,,"2nd floor, Maruti Bhawan Building, 210-11, 2618-19, Naya Bazar, Delhi, New Delhi, Delhi 110006","Old Delhi, Naya Bazar, Khari Baoli, Chandni Chowk",28.659029,77.219319,ChIJpf__r88EDTkRLb071jNqL4U,https://www.google.com/maps/place/?q=place_id:ChIJpf__r88EDTkRLb071jNqL4U,part_347,2026-09-20 20:17:47
SATHYAM TRADERS,Rice and Grain Merchant,Rice shop,Rice shop,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 83442 66062,https://sathyamtraders.com/,4.8,,"No. 11, Kutcheri Street, Begambur, Dindigul, Tamil Nadu 624001",Begambur,10.363605999999999,77.96872119999999,ChIJQ3UpqfaqADsRAAAAMOmoEn8,https://www.google.com/maps/place/?q=place_id:ChIJQ3UpqfaqADsRAAAAMOmoEn8,part_347,2026-09-20 20:17:47
Farmer’s Rice,Rice and Grain Merchant,Rice wholesaler,Rice wholesaler,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 70197 20693,http://www.farmersrice.com/,4.7,,"Shop No 10 Kogilu main road Behind HDFC ATM bajjappa Complex, Maruthi Nagar, Yelahanka, Bengaluru, Karnataka 560064","Kurlappa Layout, Maruthi Nagar, Yelahanka",13.104084499999999,77.6036757,ChIJH4XAMm4ZrjsRO3bSptXsRq8,https://www.google.com/maps/place/?q=place_id:ChIJH4XAMm4ZrjsRO3bSptXsRq8,part_347,2026-09-20 20:17:47
Om Sai Food Grains,Rice and Grain Merchant,Rice mill,Rice mill,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 99599 99964,N/A,4.8,,"Swamik Nagar, AS Rao Nagar, Secunderabad, Telangana 500062","Swamik Nagar, AS Rao Nagar",17.477736999999998,78.5529981,ChIJHQCmaJ2byzsR-hsSA_Vua1M,https://www.google.com/maps/place/?q=place_id:ChIJHQCmaJ2byzsR-hsSA_Vua1M,part_347,2026-09-20 20:17:47
The Rice Mart,Rice and Grain Merchant,Rice shop,"Rice shop, Rice mill, Rice wholesaler",759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 92463 32723,N/A,4.8,,"20-1-733/738,JM towers, pardiwada main road, opp. HP petrol pump, Puranapool, Hyderabad, Telangana 500064","Pardiwada Colony, Puranapool",17.3660052,78.45890539999999,ChIJTTu4onmXyzsREh6klF6NfdM,https://www.google.com/maps/place/?q=place_id:ChIJTTu4onmXyzsREh6klF6NfdM,part_347,2026-09-20 20:17:47
Rajendra Rice & General Mills,Rice and Grain Merchant,Rice mill,Rice mill,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 95930 00031,https://rajendrariceandgeneralmills.com/,5.0,,"Khasara Number:65, 16/2 Simbal Road, Distt, Industrial Area, Himatpura, Tohana, Haryana 125120",Industrial Area,29.7352384,75.8861759,ChIJq6qqaimYETkR3FmsIv1JhEE,https://www.google.com/maps/place/?q=place_id:ChIJq6qqaimYETkR3FmsIv1JhEE,part_347,2026-09-20 20:17:47
