business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Nath grocery shop,Kirana Store,General store,General store,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 94399 30241,N/A,5.0,,"X89V+HC3, Ambapalas, Odisha 759120",759029,20.9688894,85.34355719999999,ChIJb7bJIADLGDoRZffemDLf-ys,https://www.google.com/maps/place/?q=place_id:ChIJb7bJIADLGDoRZffemDLf-ys,part_347,2026-09-20 20:17:46
BIBEK GROCERY SHOP,Kirana Store,General store,General store,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 81440 54227,https://www.facebook.com/smoky.bibek,5.0,,"Akhuapal colony 3, Basulei, Odisha 759120",759029,21.0343393,85.2714795,ChIJqS2QTCVLHzoRqCRMmWKQbuM,https://www.google.com/maps/place/?q=place_id:ChIJqS2QTCVLHzoRqCRMmWKQbuM,part_347,2026-09-20 20:17:46
PRADHAN VARIETY STORE,Kirana Store,Indian grocery store,Indian grocery store,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",N/A,N/A,5.0,,"466M+V6M, Langalkhol, Odisha 759151",759029,21.112216699999998,85.2330485,ChIJYRNqKwBLHzoR6jomEuXjOlo,https://www.google.com/maps/place/?q=place_id:ChIJYRNqKwBLHzoR6jomEuXjOlo,part_347,2026-09-20 20:17:46
Niranjan sahu shop,Kirana Store,General store,General store,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",N/A,N/A,4.6,,"493W+PJG, Toradanali Rd, Toradanali, Odisha 759029",759029,21.1043129,85.3965845,ChIJC6BHDh0zHzoR9KzJDlv6_oU,https://www.google.com/maps/place/?q=place_id:ChIJC6BHDh0zHzoR9KzJDlv6_oU,part_347,2026-09-20 20:17:46
Dipak kirana store,Kirana Store,General store,General store,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",N/A,N/A,,,"49M3+6GR, Pangatira, Odisha 759029",759029,21.133108,85.3537673,ChIJuW5SLAA3HzoR2NUvKV_Fn6c,https://www.google.com/maps/place/?q=place_id:ChIJuW5SLAA3HzoR2NUvKV_Fn6c,part_347,2026-09-20 20:17:46
"SAHOO VERITY STORE,DASHIPUR",Kirana Store,General store,"General store, School",759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",N/A,N/A,1.0,,"Mahabirod SAHOO STORE,DASHIPUR, Kamakhyanagar, Odisha 759029",759029,21.102771,85.3764898,ChIJ81CX4R0zHzoRghvhBRrxeX0,https://www.google.com/maps/place/?q=place_id:ChIJ81CX4R0zHzoRghvhBRrxeX0,part_347,2026-09-20 20:17:46
Krishna veriety store,Kirana Store,General store,General store,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",N/A,N/A,5.0,,"4855+53P, Biribolei-Pangatira Rd, Biribolei, Odisha 759029",759029,21.1079515,85.3077065,ChIJI7G8WQA1HzoRewcWt9jYOw4,https://www.google.com/maps/place/?q=place_id:ChIJI7G8WQA1HzoRewcWt9jYOw4,part_347,2026-09-20 20:17:46
Babuli grocery Store(ବାବୁଲି ଦୋକାନ),Kirana Store,General store,General store,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 80936 59353,N/A,5.0,,"Kulei Pitiri Road, Kadapada, Odisha 759100",759029,21.0342312,85.2255038,ChIJvT0JTphLHzoR-HeUsOxcUJY,https://www.google.com/maps/place/?q=place_id:ChIJvT0JTphLHzoR-HeUsOxcUJY,part_347,2026-09-20 20:17:46
Subash General Store,Kirana Store,General store,General store,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",N/A,N/A,5.0,,"4CH2+G6G, Gadapalasuni, Odisha 759029",759029,21.1288111,85.4005876,ChIJn6xcLQAxHzoRONlV3ne1IpU,https://www.google.com/maps/place/?q=place_id:ChIJn6xcLQAxHzoRONlV3ne1IpU,part_347,2026-09-20 20:17:46
Swain grocery dukan,Kirana Store,General store,General store,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",N/A,N/A,5.0,,"497J+J27, Dasipur, Odisha 759029",759029,21.113861699999998,85.3803217,ChIJ13UfWAAzHzoRaRTmlfmQEpg,https://www.google.com/maps/place/?q=place_id:ChIJ13UfWAAzHzoRaRTmlfmQEpg,part_347,2026-09-20 20:17:46
Sahoo Kirana Store,Kirana Store,Home goods store,Home goods store,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",N/A,N/A,,,"39GF+W3R, Mahabirod, Odisha 759029",759029,21.0773653,85.37264429999999,ChIJH-1eLYszHzoR0pijXmCwcXk,https://www.google.com/maps/place/?q=place_id:ChIJH-1eLYszHzoR0pijXmCwcXk,part_347,2026-09-20 20:17:46
B.M Grocery shop,Kirana Store,General store,General store,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",N/A,N/A,,,"38RH+JH5, Ps, Chandapur, Mahabirod, Odisha 759029",759029,21.091517,85.32897559999999,ChIJd1BCFQA1HzoRelBx3azazLU,https://www.google.com/maps/place/?q=place_id:ChIJd1BCFQA1HzoRelBx3azazLU,part_347,2026-09-20 20:17:46
Dehury verait Stoor,Kirana Store,General store,General store,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",N/A,N/A,,,"676R+WP, Mandhata, Odisha 759118",759029,21.2123125,85.29181249999999,ChIJfTUieQA3HzoRB7UAZSAhCEk,https://www.google.com/maps/place/?q=place_id:ChIJfTUieQA3HzoRB7UAZSAhCEk,part_347,2026-09-20 20:17:46
Raul general store,Kirana Store,Store,Store,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",N/A,N/A,3.0,,"39GF+X4F, Mahabirod, Odisha 759029",759029,21.077434,85.3727838,ChIJWSPRdrMzHzoRRRkbML13SPU,https://www.google.com/maps/place/?q=place_id:ChIJWSPRdrMzHzoRRRkbML13SPU,part_347,2026-09-20 20:17:46
The Best Kirana and General Stores,Kirana Store,General store,"General store, Grocery store",759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 40 3583 4728,N/A,4.3,141.0,"11-5-152, 7 & 8, Adams Umbrella Towers, Red Hills, Lakdikapul, Hyderabad, Telangana 500004","Devi Bagh, Red Hills, Lakdikapul",17.395958099999998,78.46375689999999,ChIJBVNQYG-XyzsRqWu7R0PdLSQ,https://www.google.com/maps/place/?q=place_id:ChIJBVNQYG-XyzsRqWu7R0PdLSQ,part_347,2026-09-20 20:17:47
Laxminarayan variety store,Kirana Store,Grocery store,Grocery store,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 63705 13271,N/A,4.3,34.0,"67, Parjang, Garhaparajang, Odisha 759120",759029,20.9284027,85.3241221,ChIJr7-PgkTJGDoRUjglIbgi5xY,https://www.google.com/maps/place/?q=place_id:ChIJr7-PgkTJGDoRUjglIbgi5xY,part_347,2026-09-20 20:17:47
Agarwal Kirana & General Store,Kirana Store,Indian grocery store,Indian grocery store,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",N/A,N/A,4.3,84.0,"240, Patrakar Colony, Vardhman Nagar, Karni Vihar, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302019","Patrakar Colony, Vardhman Nagar, Karni Vihar",26.8828982,75.73668169999999,ChIJh4x3DsK0bTkRysKPps49IDQ,https://www.google.com/maps/place/?q=place_id:ChIJh4x3DsK0bTkRysKPps49IDQ,part_347,2026-09-20 20:17:47
