business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Bapi Electrician,Electrician,Electrician,Electrician,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 90402 11281,N/A,5.0,22.0,"Karigar sahi, Dhenkanal, Odisha 759001",759029,20.6670069,85.5956116,ChIJv1SfQqTfGDoRnucoyANlrLc,https://www.google.com/maps/place/?q=place_id:ChIJv1SfQqTfGDoRnucoyANlrLc,part_347,2026-09-20 20:18:03,4494
Electrician SHIBU,Electrician,Electrician,Electrician,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",N/A,N/A,5.0,1.0,"X983+P5R, Kankadasoda, Odisha 759120",759029,20.966909599999997,85.35293109999999,ChIJaQ9GeQDLGDoRM7mQVZARgeI,https://www.google.com/maps/place/?q=place_id:ChIJaQ9GeQDLGDoRM7mQVZARgeI,part_347,2026-09-20 20:18:03,4495
Jogesh Electrician,Electrician,Electrician,Electrician,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 63727 87443,N/A,4.3,6.0,"Kutuli, Odisha 765002",759029,19.101031,83.194372,ChIJWS9AYfw_OzoRM_0KkXzzF84,https://www.google.com/maps/place/?q=place_id:ChIJWS9AYfw_OzoRM_0KkXzzF84,part_347,2026-09-20 20:18:03,4496
Bhubaneswar Electrician - Pintu,Electrician,Electrical installation service,Electrical installation service,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 95560 06109,https://bhubaneswarelectricianpintu.in/,5.0,343.0,"Plot No - 365, near Ekamra Talkies, Bomikhal, Govind Vihar, Bhubaneswar, Odisha 751010","Bomikhal, Govind Vihar",20.2822013,85.8565983,ChIJJ9U3ZoQLGToRf0VSZnl7zkg,https://www.google.com/maps/place/?q=place_id:ChIJJ9U3ZoQLGToRf0VSZnl7zkg,part_347,2026-09-20 20:18:03,4497
JP ENTERPRISES (JP ELECTRICALS),Electrician,Electrical supply store,Electrical supply store,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",N/A,N/A,4.9,15.0,"MEENA BAZAR, Plot No. 4763 & 4764, Surya Hotel Ln, opposite of Khadims Showroom, Kanchan Bazar, Dhenkanal, Odisha 759001",Kanchan Bazar,20.658627499999998,85.59597289999999,ChIJKfu2mOjhGDoRyodWUEGxSBc,https://www.google.com/maps/place/?q=place_id:ChIJKfu2mOjhGDoRyodWUEGxSBc,part_347,2026-09-20 20:18:03,4498
CKS Electrical Work,Electrician,Electrician,Electrician,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",N/A,N/A,,,"CKS Electrical Works, Khamar, Narayanchandrapur, Odisha 759118",759029,21.242434,85.1904697,ChIJY8uubvJHHzoRbWNLLA812Gw,https://www.google.com/maps/place/?q=place_id:ChIJY8uubvJHHzoRbWNLLA812Gw,part_347,2026-09-20 20:18:03,4499
Anshuman Electrical And Electrician,Electrician,Electronics store,Electronics store,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 90406 91419,N/A,5.0,1.0,"Balugaon Railway Station Rd, Patana Sahi, Balugaon, Odisha 752030",Patana Sahi,19.7489338,85.2020689,ChIJjcw3IuIXGDoRSpLidQ5sHO0,https://www.google.com/maps/place/?q=place_id:ChIJjcw3IuIXGDoRSpLidQ5sHO0,part_347,2026-09-20 20:18:03,4500
Radharaman electrical Store,Electrician,Electronics store,Electronics store,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",N/A,N/A,5.0,20.0,"Kankadahad, Dangapal, Odisha 759028",Kankadahad,21.0686312,85.57436419999999,ChIJI-KmZAArHzoR50Iy0N3K8Zw,https://www.google.com/maps/place/?q=place_id:ChIJI-KmZAArHzoR50Iy0N3K8Zw,part_347,2026-09-20 20:18:03,4501
Ray Electricals & Service,Electrician,Electrician,Electrician,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",+91 87707 28910,https://ray-electricals-staging.b12sites.com/index#contact,4.9,10.0,"Adawal, Chhattisgarh 494001",759029,19.0673308,82.0650292,ChIJFdWhWfwNMDoRF-rPyzEYWN0,https://www.google.com/maps/place/?q=place_id:ChIJFdWhWfwNMDoRF-rPyzEYWN0,part_347,2026-09-20 20:18:03,4502
Nabin bhoi,Electrician,Electrical engineer,Electrical engineer,759029,Odisha Circle,Sambalpur Region,Dhenkanal Division,"Mahabirod S.O, Ambapalas B.O, Bhejia B.O",N/A,N/A,,,"X885+JC6, Kualo, Odisha 759120",759029,20.9658221,85.3087532,ChIJzUpiTQDLGDoRSfXgg0HG3Pw,https://www.google.com/maps/place/?q=place_id:ChIJzUpiTQDLGDoRSfXgg0HG3Pw,part_347,2026-09-20 20:18:03,4503
